NBAName,NBABirthDate,NBAID,NBALinks,BBRefName,BBRefID,BBRefBirthDate,BBRefLink,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
Jim Pollard,7/9/1922,77867,https://www.nba.com/stats/player/77867/career/,Jim Pollard,pollaji01,7/9/1922,https://www.basketball-reference.com/players/p/pollaji01.html,17,F,6'3,185 lbs,Stanford,USA
Jim Price,11/27/1949,77883,https://www.nba.com/stats/player/77883/career/,Jim Price,priceji01,11/27/1949,https://www.basketball-reference.com/players/p/priceji01.html,5,G,6'3,195 lbs,Louisville,USA
Jim Ray,1/12/1934,77919,https://www.nba.com/stats/player/77919/career/,Jim Ray,rayji01,1/12/1934,https://www.basketball-reference.com/players/r/rayji01.html,3,G,6'1,180 lbs,Toledo,USA
Jim Reid,8/3/1945,77935,https://www.nba.com/stats/player/77935/career/,Jim Reid,reidji01,8/3/1945,https://www.basketball-reference.com/players/r/reidji01.html,12,C,6'6,210 lbs,Winston-Salem State,USA
Jim Riffey,12/14/1923,77959,https://www.nba.com/stats/player/77959/career/,Jim Riffey,riffeji01,12/14/1923,https://www.basketball-reference.com/players/r/riffeji01.html,17-Sep,F,6'4,200 lbs,Tulane,USA
Jim Rowinski,1/4/1961,78029,https://www.nba.com/stats/player/78029/career/,Jim Rowinski,rowinji01,1/4/1961,https://www.basketball-reference.com/players/r/rowinji01.html,50,C,6'8,250 lbs,Purdue,USA
Jim Seminoff,9/1/1922,78114,https://www.nba.com/stats/player/78114/career/,Jim Seminoff,seminji01,9/1/1922,https://www.basketball-reference.com/players/s/seminji01.html,15,G,6'2,190 lbs,Southern California,USA
Jim Slaughter,5/13/1928,78171,https://www.nba.com/stats/player/78171/career/,Jim Slaughter,slaugji01,5/13/1928,https://www.basketball-reference.com/players/s/slaugji01.html,,C,6'11,210 lbs,South Carolina,USA
Jim Smith,4/12/1958,78191,https://www.nba.com/stats/player/78191/career/,Jim Smith,smithji01,4/12/1958,https://www.basketball-reference.com/players/s/smithji01.html,32,F,6'9,225 lbs,Ohio State,USA
Jim Spanarkel,6/28/1957,78222,https://www.nba.com/stats/player/78222/career/,Jim Spanarkel,spanaji01,6/28/1957,https://www.basketball-reference.com/players/s/spanaji01.html,34,G,6'5,190 lbs,Duke,USA
Jim Springer,6/17/1926,78234,https://www.nba.com/stats/player/78234/career/,,,,,,C,6'9,235 lbs,Canterbury,USA
Jim Spruill,2/26/1923,78235,https://www.nba.com/stats/player/78235/career/,,,,,,F,6'2,225 lbs,Rice,USA
Jim Thomas,10/19/1960,78320,https://www.nba.com/stats/player/78320/career/,Jim Thomas,thomaji01,10/19/1960,https://www.basketball-reference.com/players/t/thomaji01.html,20,G,6'3,190 lbs,Indiana,USA
Jim Tucker,12/11/1932,78374,https://www.nba.com/stats/player/78374/career/,Jim Tucker,tuckeji01,12/11/1932,https://www.basketball-reference.com/players/t/tuckeji01.html,17,F,6'7,185 lbs,Duquesne,USA
Jim Walsh,8/29/1931,78446,https://www.nba.com/stats/player/78446/career/,Jim Walsh,walshji01,8/29/1930,https://www.basketball-reference.com/players/w/walshji01.html,20,F,6'4,195 lbs,Stanford,USA
Jim Ware,5/2/1944,78457,https://www.nba.com/stats/player/78457/career/,Jim Ware,wareji01,5/2/1944,https://www.basketball-reference.com/players/w/wareji01.html,27,F,6'7,210 lbs,Oklahoma City,USA
Jim Washington,7/1/1943,78466,https://www.nba.com/stats/player/78466/career/,Jim Washington,washiji01,7/1/1943,https://www.basketball-reference.com/players/w/washiji01.html,12,F,6'7,210 lbs,Villanova,USA
Jim Zoet,12/30/1953,78647,https://www.nba.com/stats/player/78647/career/,Jim Zoet,zoetji01,12/20/1953,https://www.basketball-reference.com/players/z/zoetji01.html,34,C,7'1,240 lbs,Kent State,USA
Jimmer Fredette,2/25/1989,202690,https://www.nba.com/stats/player/202690/career/,Jimmer Fredette,fredeji01,2/25/1989,https://www.basketball-reference.com/players/f/fredeji01.html,32,G,6'2,195 lbs,Brigham Young,USA
Jimmy Butler,9/14/1989,202710,https://www.nba.com/stats/player/202710/career/,Jimmy Butler,butleji01,9/14/1989,https://www.basketball-reference.com/players/b/butleji01.html,22,F,6'7,230 lbs,Marquette,USA
Jimmy Carruth,11/4/1969,1131,https://www.nba.com/stats/player/1131/career/,Jimmy Carruth,carruji01,11/4/1969,https://www.basketball-reference.com/players/c/carruji01.html,40,F,6'10,265 lbs,Virginia Tech,USA
Jimmy Collins,11/24/1946,76419,https://www.nba.com/stats/player/76419/career/,Jimmy Collins,colliji01,11/24/1946,https://www.basketball-reference.com/players/c/colliji01.html,22,G,6'2,175 lbs,New Mexico State,USA
Jimmy Darden,6/19/1922,76507,https://www.nba.com/stats/player/76507/career/,Jimmy Darden,dardeji01,6/19/1922,https://www.basketball-reference.com/players/d/dardeji01.html,,G,6'1,170 lbs,Denver,USA
Jimmy Darrow,9/25/1937,76511,https://www.nba.com/stats/player/76511/career/,Jimmy Darrow,darroji01,9/25/1937,https://www.basketball-reference.com/players/d/darroji01.html,,G,5'10,170 lbs,Bowling Green,USA
Jimmy Jones,1/1/1945,77186,https://www.nba.com/stats/player/77186/career/,Jimmy Jones,jonesji01,1/1/1945,https://www.basketball-reference.com/players/j/jonesji01.html,15,G,6'4,188 lbs,Grambling,USA
Jimmy King,8/9/1973,728,https://www.nba.com/stats/player/728/career/,Jimmy King,kingji02,8/9/1973,https://www.basketball-reference.com/players/k/kingji02.html,13,G,6'5,210 lbs,Michigan,USA
Jimmy Oliver,7/12/1969,1429,https://www.nba.com/stats/player/1429/career/,Jimmy Oliver,oliveji01,7/12/1969,https://www.basketball-reference.com/players/o/oliveji01.html,27,G,6'5,205 lbs,Purdue,USA
Jimmy Walker,4/8/1944,78439,https://www.nba.com/stats/player/78439/career/,Jimmy Walker,walkeji01,4/8/1944,https://www.basketball-reference.com/players/w/walkeji01.html,24,G,6'3,195 lbs,Providence,USA
Jiri Welsch,1/27/1980,2412,https://www.nba.com/stats/player/2412/career/,JirÌ Welsch,welscji01,1/27/1980,https://www.basketball-reference.com/players/w/welscji01.html,44,F,6'7,208 lbs,Union Olimpija,Czech Republic
JJ Hickson,9/4/1988,201581,https://www.nba.com/stats/player/201581/career/,J.J. Hickson,hicksjj01,9/4/1988,https://www.basketball-reference.com/players/h/hicksjj01.html,21,C-F,6'9,242 lbs,North Carolina State,USA
JJ O'Brien,4/8/1992,1626266,https://www.nba.com/stats/player/1626266/career/,J.J. O'Brien,obriejj01,4/8/1992,https://www.basketball-reference.com/players/o/obriejj01.html,28,F,6'7,220 lbs,San Diego State,USA
JJ Redick,6/24/1984,200755,https://www.nba.com/stats/player/200755/career/,J.J. Redick,redicjj01,6/24/1984,https://www.basketball-reference.com/players/r/redicjj01.html,17,G,6'3,200 lbs,Duke,USA
Joakim Noah,2/25/1985,201149,https://www.nba.com/stats/player/201149/career/,Joakim Noah,noahjo01,2/25/1985,https://www.basketball-reference.com/players/n/noahjo01.html,55,F-C,6'11,232 lbs,Florida,USA
Joao Vianna,11/15/1966,78416,https://www.nba.com/stats/player/78416/career/,Jo„o Vianna,viannjo01,11/15/1966,https://www.basketball-reference.com/players/v/viannjo01.html,31,F,6'9,215 lbs,Travajara,Brazil
Joby Wright,9/5/1950,78622,https://www.nba.com/stats/player/78622/career/,Joby Wright,wrighjo01,9/5/1950,https://www.basketball-reference.com/players/w/wrighjo01.html,14,F,6'8,220 lbs,Indiana,USA
Jodie Meeks,8/21/1987,201975,https://www.nba.com/stats/player/201975/career/,Jodie Meeks,meeksjo01,8/21/1987,https://www.basketball-reference.com/players/m/meeksjo01.html,20,G,6'4,210 lbs,Kentucky,USA
Joe Alexander,12/26/1986,201570,https://www.nba.com/stats/player/201570/career/,Joe Alexander,alexajo01,12/26/1986,https://www.basketball-reference.com/players/a/alexajo01.html,20,F,6'8,230 lbs,West Virginia,USA
Joe Arlauckas,7/20/1965,76057,https://www.nba.com/stats/player/76057/career/,Joe Arlauckas,arlaujo01,7/20/1965,https://www.basketball-reference.com/players/a/arlaujo01.html,53,F,6'9,230 lbs,Niagara,USA
Joe Barry Carroll,7/24/1958,76353,https://www.nba.com/stats/player/76353/career/,Joe Barry Carroll,carrojo01,7/24/1958,https://www.basketball-reference.com/players/c/carrojo01.html,2,C,7'1,225 lbs,Purdue,USA
Joe Binion,3/26/1961,76167,https://www.nba.com/stats/player/76167/career/,Joe Binion,biniojo01,3/26/1961,https://www.basketball-reference.com/players/b/biniojo01.html,50,F,6'8,235 lbs,North Carolina A&T,USA
Joe Bradley,9/24/1928,76232,https://www.nba.com/stats/player/76232/career/,Joe Bradley,bradljo01,9/24/1928,https://www.basketball-reference.com/players/b/bradljo01.html,,G,6'3,175 lbs,Oklahoma State,USA
Joe Bryant,10/19/1954,76290,https://www.nba.com/stats/player/76290/career/,Joe Bryant,bryanjo01,10/19/1954,https://www.basketball-reference.com/players/b/bryanjo01.html,22,F,6'10,185 lbs,La Salle,USA
Joe Buckhalter,8/1/1937,76293,https://www.nba.com/stats/player/76293/career/,Joe Buckhalter,buckhjo01,8/1/1937,https://www.basketball-reference.com/players/b/buckhjo01.html,21,F,6'7,210 lbs,Tennessee State,USA
Joe Caldwell,11/1/1941,76329,https://www.nba.com/stats/player/76329/career/,Joe Caldwell,caldwjo01,11/1/1941,https://www.basketball-reference.com/players/c/caldwjo01.html,27,F,6'5,195 lbs,Arizona State,USA
Joe Chealey,11/1/1995,1629147,https://www.nba.com/stats/player/1629147/career/,Joe Chealey,chealjo01,11/1/1995,https://www.basketball-reference.com/players/c/chealjo01.html,31,G,6'3,190 lbs,College of Charleston,USA
Joe Colone,1/23/1926,76422,https://www.nba.com/stats/player/76422/career/,,,,,18,F,6'5,210 lbs,Bloomsburg,USA
Joe Cooke,8/14/1948,76440,https://www.nba.com/stats/player/76440/career/,Joe Cooke,cookejo01,8/14/1948,https://www.basketball-reference.com/players/c/cookejo01.html,10,G,6'3,175 lbs,Indiana,USA
Joe Cooper,9/1/1957,76443,https://www.nba.com/stats/player/76443/career/,Joe Cooper,coopejo01,9/1/1957,https://www.basketball-reference.com/players/c/coopejo01.html,53,C,6'10,230 lbs,Colorado,USA
Joe Courtney,10/17/1969,1432,https://www.nba.com/stats/player/1432/career/,Joe Courtney,courtjo01,10/17/1969,https://www.basketball-reference.com/players/c/courtjo01.html,40,F,6'8,235 lbs,Southern Mississippi,USA
Joe Crawford,6/17/1986,201621,https://www.nba.com/stats/player/201621/career/,Joe Crawford,crawfjo01,6/17/1986,https://www.basketball-reference.com/players/c/crawfjo01.html,5,G,6'5,210 lbs,Kentucky,USA
Joe Crispin,7/18/1979,2343,https://www.nba.com/stats/player/2343/career/,Joe Crispin,crispjo01,7/18/1979,https://www.basketball-reference.com/players/c/crispjo01.html,11,G,6'1,185 lbs,Penn State,USA
Joe Dolhon,7/9/1927,76581,https://www.nba.com/stats/player/76581/career/,Joe Dolhon,dolhojo01,7/9/1927,https://www.basketball-reference.com/players/d/dolhojo01.html,,G,6'1,175 lbs,New York University,USA
Joe Dumars,5/24/1963,247,https://www.nba.com/stats/player/247/career/,Joe Dumars,dumarjo01,5/24/1963,https://www.basketball-reference.com/players/d/dumarjo01.html,4,G,6'3,195 lbs,McNeese State,USA
Joe Ellis,5/3/1944,76661,https://www.nba.com/stats/player/76661/career/,Joe Ellis,ellisjo01,5/3/1944,https://www.basketball-reference.com/players/e/ellisjo01.html,31,F,6'6,175 lbs,San Francisco,USA
Joe Fabel,9/4/1913,76690,https://www.nba.com/stats/player/76690/career/,,,,,,F,6'1,190 lbs,Pittsburgh,USA
Joe Fulks,10/26/1921,76764,https://www.nba.com/stats/player/76764/career/,Joe Fulks,fulksjo01,10/26/1921,https://www.basketball-reference.com/players/f/fulksjo01.html,10,F,6'5,190 lbs,Murray State,USA
Joe Graboski,1/15/1930,76838,https://www.nba.com/stats/player/76838/career/,Joe Graboski,grabojo01,1/15/1930,https://www.basketball-reference.com/players/g/grabojo01.html,23,F,6'8,195 lbs,Tuley HS (IL),USA
Joe Harris,9/6/1991,203925,https://www.nba.com/stats/player/203925/career/,Joe Harris,harrijo01,9/6/1991,https://www.basketball-reference.com/players/h/harrijo01.html,12,G-F,6'6,220 lbs,Virginia,USA
Joe Holland,9/26/1925,77041,https://www.nba.com/stats/player/77041/career/,Joe Holland,hollajo01,9/26/1925,https://www.basketball-reference.com/players/h/hollajo01.html,,F,6'4,185 lbs,Kentucky,USA
Joe Holup,2/26/1934,77049,https://www.nba.com/stats/player/77049/career/,Joe Holup,holupjo01,2/26/1934,https://www.basketball-reference.com/players/h/holupjo01.html,9,F,6'6,215 lbs,George Washington,USA
Joe Hutton,10/6/1928,77090,https://www.nba.com/stats/player/77090/career/,Joe Hutton,huttojo01,10/6/1928,https://www.basketball-reference.com/players/h/huttojo01.html,15-Apr,G,6'1,170 lbs,Hamline,USA
Joe Ingles,10/2/1987,204060,https://www.nba.com/stats/player/204060/career/,Joe Ingles,inglejo01,10/2/1987,https://www.basketball-reference.com/players/i/inglejo01.html,2,F-G,6'8,220 lbs,Maccabi Tel Aviv,Australia
Joe Johnson,6/29/1981,2207,https://www.nba.com/stats/player/2207/career/,Joe Johnson,johnsjo02,6/29/1981,https://www.basketball-reference.com/players/j/johnsjo02.html,7,G-F,6'7,240 lbs,Arkansas,USA
Joe Kennedy,1/12/1947,77244,https://www.nba.com/stats/player/77244/career/,Joe Kennedy,kennejo01,1/12/1947,https://www.basketball-reference.com/players/k/kennejo01.html,34,F,6'6,210 lbs,Duke,USA
Joe Kleine,1/4/1962,170,https://www.nba.com/stats/player/170/career/,Joe Kleine,kleinjo01,1/4/1962,https://www.basketball-reference.com/players/k/kleinjo01.html,35,C,7'1,271 lbs,Arkansas,USA
Joe Kopicki,6/12/1960,77300,https://www.nba.com/stats/player/77300/career/,Joe Kopicki,kopicjo01,6/12/1960,https://www.basketball-reference.com/players/k/kopicjo01.html,50,F,6'9,240 lbs,Detroit,USA
Joe McNamee,9/24/1926,77559,https://www.nba.com/stats/player/77559/career/,Joe McNamee,mcnamjo01,9/24/1926,https://www.basketball-reference.com/players/m/mcnamjo01.html,20,C,6'6,210 lbs,San Francisco,USA
Joe Meriweather,10/26/1953,77582,https://www.nba.com/stats/player/77582/career/,Joe Meriweather,meriwjo01,10/26/1953,https://www.basketball-reference.com/players/m/meriwjo01.html,50,C,6'10,215 lbs,Southern Illinois,USA
Joe Mullaney,11/17/1925,77659,https://www.nba.com/stats/player/77659/career/,Joe Mullaney,mullajo01,11/17/1924,https://www.basketball-reference.com/players/m/mullajo01.html,17,G,6'1,165 lbs,Holy Cross,USA
Joe Pace,12/18/1953,77788,https://www.nba.com/stats/player/77788/career/,Joe Pace,pacejo01,12/18/1953,https://www.basketball-reference.com/players/p/pacejo01.html,44,C,6'10,220 lbs,Coppin State,USA
Joe Reaves,5/27/1950,77923,https://www.nba.com/stats/player/77923/career/,Joe Reaves,reavejo01,5/27/1950,https://www.basketball-reference.com/players/r/reavejo01.html,24,F,6'5,210 lbs,Bethel,USA
Joe Roberts,5/18/1936,77977,https://www.nba.com/stats/player/77977/career/,Joe Roberts,roberjo01,5/18/1936,https://www.basketball-reference.com/players/r/roberjo01.html,12,F,6'6,214 lbs,Ohio State,USA
Joe Ruklick,8/3/1938,78040,https://www.nba.com/stats/player/78040/career/,Joe Ruklick,ruklijo01,8/3/1938,https://www.basketball-reference.com/players/r/ruklijo01.html,17,F,6'9,220 lbs,Northwestern,USA
Joe Smith,7/26/1975,693,https://www.nba.com/stats/player/693/career/,Joe Smith,smithjo02,7/26/1975,https://www.basketball-reference.com/players/s/smithjo02.html,1,F-C,6'10,225 lbs,Maryland,USA
Joe Smyth,5/22/1929,78212,https://www.nba.com/stats/player/78212/career/,Joe Smyth,smythjo01,5/22/1929,https://www.basketball-reference.com/players/s/smythjo01.html,,F,6'3,215 lbs,Niagara,USA
Joe Stephens,1/28/1973,1086,https://www.nba.com/stats/player/1086/career/,Joe Stephens,stephjo01,1/28/1973,https://www.basketball-reference.com/players/s/stephjo01.html,23,F,6'7,210 lbs,Arkansas-Little Rock,USA
Joe Strawder,9/21/1940,78268,https://www.nba.com/stats/player/78268/career/,Joe Strawder,strawjo01,9/21/1940,https://www.basketball-reference.com/players/s/strawjo01.html,16,C,6'10,235 lbs,Bradley,USA
Joe Thomas,6/27/1948,78321,https://www.nba.com/stats/player/78321/career/,Joe Thomas,thomajo01,3/9/1948,https://www.basketball-reference.com/players/t/thomajo01.html,40,F,6'6,205 lbs,Marquette,USA
Joe Wolf,12/17/1964,341,https://www.nba.com/stats/player/341/career/,Joe Wolf,wolfjo01,12/17/1964,https://www.basketball-reference.com/players/w/wolfjo01.html,23,C-F,6'11,260 lbs,North Carolina,USA
Joe Young,6/27/1992,1626202,https://www.nba.com/stats/player/1626202/career/,Joe Young,youngjo01,6/27/1992,https://www.basketball-reference.com/players/y/youngjo01.html,3,G,6'2,185 lbs,Oregon,USA
Joel Anthony,8/9/1982,201202,https://www.nba.com/stats/player/201202/career/,Joel Anthony,anthojo01,8/9/1982,https://www.basketball-reference.com/players/a/anthojo01.html,30,C,6'9,245 lbs,UNLV,Canada
Joel Bolomboy,1/28/1994,1627762,https://www.nba.com/stats/player/1627762/career/,Joel Bolomboy,bolomjo01,1/28/1994,https://www.basketball-reference.com/players/b/bolomjo01.html,21,F,6'9,235 lbs,Weber State,Ukraine
Joel Embiid,3/16/1994,203954,https://www.nba.com/stats/player/203954/career/,Joel Embiid,embiijo01,3/16/1994,https://www.basketball-reference.com/players/e/embiijo01.html,21,C-F,7'1,280 lbs,Kansas,Cameroon
Joel Freeland,2/7/1987,200777,https://www.nba.com/stats/player/200777/career/,Joel Freeland,freeljo01,2/7/1987,https://www.basketball-reference.com/players/f/freeljo01.html,19,C-F,6'10,225 lbs,Malaga,United Kingdom
Joel Ingram,8/31/1931,77095,https://www.nba.com/stats/player/77095/career/,McCoy Ingram,ingramc01,8/31/1931,https://www.basketball-reference.com/players/i/ingramc01.html,22,F,6'1,210 lbs,Jackson State,USA
Joel Kramer,11/30/1955,77308,https://www.nba.com/stats/player/77308/career/,Joel Kramer,kramejo01,11/30/1955,https://www.basketball-reference.com/players/k/kramejo01.html,50,F,6'7,203 lbs,San Diego State,USA
Joel Przybilla,10/10/1979,2038,https://www.nba.com/stats/player/2038/career/,Joel Przybilla,przybjo01,10/10/1979,https://www.basketball-reference.com/players/p/przybjo01.html,10,C,7'1,245 lbs,Minnesota,USA
Joey Dorsey,12/16/1983,201595,https://www.nba.com/stats/player/201595/career/,Joey Dorsey,dorsejo01,12/16/1983,https://www.basketball-reference.com/players/d/dorsejo01.html,8,C-F,6'9,275 lbs,Memphis,USA
Joey Graham,6/11/1982,101121,https://www.nba.com/stats/player/101121/career/,Joey Graham,grahajo01,6/11/1982,https://www.basketball-reference.com/players/g/grahajo01.html,12,F,6'7,230 lbs,Oklahoma State,USA
Joey Hassett,9/11/1955,76966,https://www.nba.com/stats/player/76966/career/,Joe Hassett,hassejo01,9/11/1955,https://www.basketball-reference.com/players/h/hassejo01.html,10,G,6'5,180 lbs,Providence,USA
Joffrey Lauvergne,9/30/1991,203530,https://www.nba.com/stats/player/203530/career/,Joffrey Lauvergne,lauvejo01,9/30/1991,https://www.basketball-reference.com/players/l/lauvejo01.html,77,C,6'11,260 lbs,,France
Johan Petro,1/27/1986,101130,https://www.nba.com/stats/player/101130/career/,Johan Petro,petrojo01,1/27/1986,https://www.basketball-reference.com/players/p/petrojo01.html,10,C,7'1,247 lbs,Pau Orthez,France
John Abramovic,2/9/1919,76007,https://www.nba.com/stats/player/76007/career/,,,,,,F,6'3,195 lbs,Salem,USA
John Amaechi,11/26/1970,680,https://www.nba.com/stats/player/680/career/,John Amaechi,amaecjo01,11/26/1970,https://www.basketball-reference.com/players/a/amaecjo01.html,13,F-C,6'10,270 lbs,Penn State,United Kingdom
John Arthurs,8/15/1947,76065,https://www.nba.com/stats/player/76065/career/,John Arthurs,arthujo01,8/15/1947,https://www.basketball-reference.com/players/a/arthujo01.html,12,G,6'4,185 lbs,Tulane,USA
John Austin,8/31/1944,76073,https://www.nba.com/stats/player/76073/career/,Johnny Austin,austijo01,8/31/1944,https://www.basketball-reference.com/players/a/austijo01.html,34,G,6'1,170 lbs,Boston College,USA
John Bagley,4/23/1960,76082,https://www.nba.com/stats/player/76082/career/,John Bagley,baglejo01,4/23/1960,https://www.basketball-reference.com/players/b/baglejo01.html,5,G,6'1,185 lbs,Boston College,USA
John Barber,6/27/1927,76096,https://www.nba.com/stats/player/76096/career/,John Barber,barbejo01,6/27/1927,https://www.basketball-reference.com/players/b/barbejo01.html,25,F,6'6,210 lbs,California State-Los Angeles,USA
John Barnhill,3/20/1938,76108,https://www.nba.com/stats/player/76108/career/,John Barnhill,barnhjo01,3/20/1938,https://www.basketball-reference.com/players/b/barnhjo01.html,11,G,6'1,180 lbs,Tennessee State,USA
John Barr,8/18/1918,76111,https://www.nba.com/stats/player/76111/career/,,,,,,F,6'3,205 lbs,Penn State,USA
John Battle,11/9/1962,174,https://www.nba.com/stats/player/174/career/,John Battle,battljo01,11/9/1962,https://www.basketball-reference.com/players/b/battljo01.html,10,G,6'2,175 lbs,Rutgers,USA
John Block,4/16/1944,76187,https://www.nba.com/stats/player/76187/career/,John Block,blockjo01,4/16/1944,https://www.basketball-reference.com/players/b/blockjo01.html,35,F,6'10,207 lbs,Southern California,USA
John Brisker,6/15/1947,76256,https://www.nba.com/stats/player/76256/career/,John Brisker,briskjo01,6/15/1947,https://www.basketball-reference.com/players/b/briskjo01.html,40,F,6'5,210 lbs,Toledo,USA
John Brown,12/14/1951,76276,https://www.nba.com/stats/player/76276/career/,John Brown,brownjo01,12/14/1951,https://www.basketball-reference.com/players/b/brownjo01.html,32-52,F,6'7,220 lbs,Missouri,USA
John Celestand,3/6/1977,1911,https://www.nba.com/stats/player/1911/career/,John Celestand,celesjo01,3/6/1977,https://www.basketball-reference.com/players/c/celesjo01.html,20,G,6'3,190 lbs,Villanova,USA
John Chaney,2/29/1920,76380,https://www.nba.com/stats/player/76380/career/,John Chaney,chanejo01,2/29/1920,https://www.basketball-reference.com/players/c/chanejo01.html,,,,,Louisiana State,USA
John Clemens,5/1/1943,76403,https://www.nba.com/stats/player/76403/career/,Barry Clemens,clemeba01,5/1/1943,https://www.basketball-reference.com/players/c/clemeba01.html,40,F,6'6,210 lbs,Ohio Wesleyan,USA
John Coker,10/28/1971,715,https://www.nba.com/stats/player/715/career/,John Coker,cokerjo01,10/28/1971,https://www.basketball-reference.com/players/c/cokerjo01.html,51,C,7'1,253 lbs,Boise State,USA
John Collins,9/23/1997,1628381,https://www.nba.com/stats/player/1628381/career/,John Collins,collijo01,9/23/1997,https://www.basketball-reference.com/players/c/collijo01.html,20,F-C,6'9,235 lbs,Wake Forest,USA
John Coughran,9/12/1951,76457,https://www.nba.com/stats/player/76457/career/,John Coughran,coughjo01,9/12/1951,https://www.basketball-reference.com/players/c/coughjo01.html,41,F,6'7,225 lbs,California,USA
John Cox,12/29/1955,76463,https://www.nba.com/stats/player/76463/career/,Chubby Cox,coxch01,12/29/1955,https://www.basketball-reference.com/players/c/coxch01.html,32,G,6'2,180 lbs,San Francisco,USA
John Crotty,7/15/1969,180,https://www.nba.com/stats/player/180/career/,John Crotty,crottjo01,7/15/1969,https://www.basketball-reference.com/players/c/crottjo01.html,22,G,6'2,194 lbs,Virginia,USA
John Dillon,1/8/1924,76571,https://www.nba.com/stats/player/76571/career/,Hook Dillon,dilloho01,1/8/1924,https://www.basketball-reference.com/players/d/dilloho01.html,,F,6'3,180 lbs,North Carolina,USA
John Douglas,6/12/1956,76589,https://www.nba.com/stats/player/76589/career/,John Douglas,dougljo01,6/12/1956,https://www.basketball-reference.com/players/d/dougljo01.html,13,G,6'2,170 lbs,Kansas,USA
John Drew,9/30/1954,76598,https://www.nba.com/stats/player/76598/career/,John Drew,drewjo01,9/30/1954,https://www.basketball-reference.com/players/d/drewjo01.html,22,F,6'6,205 lbs,Gardner-Webb,USA
John Duren,10/30/1958,76619,https://www.nba.com/stats/player/76619/career/,John Duren,durenjo01,10/30/1958,https://www.basketball-reference.com/players/d/durenjo01.html,44,G,6'3,195 lbs,Georgetown,USA
John Edwards,7/31/1981,2823,https://www.nba.com/stats/player/2823/career/,John Edwards,edwarjo01,7/31/1981,https://www.basketball-reference.com/players/e/edwarjo01.html,54,C,7'1,275 lbs,Kent State,USA
John Fairchild,4/28/1943,76691,https://www.nba.com/stats/player/76691/career/,John Fairchild,faircjo01,4/28/1943,https://www.basketball-reference.com/players/f/faircjo01.html,33,F,6'7,205 lbs,Brigham Young,USA
John Garris,6/6/1959,76791,https://www.nba.com/stats/player/76791/career/,John Garris,garrijo01,6/6/1959,https://www.basketball-reference.com/players/g/garrijo01.html,55,F,6'8,205 lbs,Boston College,USA
John Gianelli,6/10/1950,76806,https://www.nba.com/stats/player/76806/career/,John Gianelli,gianejo01,6/10/1950,https://www.basketball-reference.com/players/g/gianejo01.html,40,C,6'10,220 lbs,Pacific,USA
John Greig,4/28/1961,76885,https://www.nba.com/stats/player/76885/career/,John Greig,greigjo01,4/28/1961,https://www.basketball-reference.com/players/g/greigjo01.html,22,F,6'7,215 lbs,Oregon,USA
John Hargis,8/20/1920,76949,https://www.nba.com/stats/player/76949/career/,John Hargis,hargijo01,8/20/1920,https://www.basketball-reference.com/players/h/hargijo01.html,9,G,6'2,180 lbs,Texas-Austin,USA
John Havlicek,4/8/1940,76970,https://www.nba.com/stats/player/76970/career/,John Havlicek,havlijo01,4/8/1940,https://www.basketball-reference.com/players/h/havlijo01.html,17,F,6'5,203 lbs,Ohio State,USA
John Henson,12/28/1990,203089,https://www.nba.com/stats/player/203089/career/,John Henson,hensojo01,12/28/1990,https://www.basketball-reference.com/players/h/hensojo01.html,31,F-C,6'9,219 lbs,North Carolina,USA
John Holland,11/6/1988,204066,https://www.nba.com/stats/player/204066/career/,John Holland,hollajo02,11/6/1988,https://www.basketball-reference.com/players/h/hollajo02.html,30,G-F,6'5,205 lbs,Boston U.,USA
John Hummer,5/4/1948,77080,https://www.nba.com/stats/player/77080/career/,John Hummer,hummejo01,5/4/1948,https://www.basketball-reference.com/players/h/hummejo01.html,42,F,6'9,230 lbs,Princeton,USA
John Janisch,3/15/1920,77120,https://www.nba.com/stats/player/77120/career/,,,,,,F,6'3,200 lbs,Valparaiso,USA
John Jenkins,3/6/1991,203098,https://www.nba.com/stats/player/203098/career/,John Jenkins,jenkijo01,3/6/1991,https://www.basketball-reference.com/players/j/jenkijo01.html,30,G,6'4,215 lbs,Vanderbilt,USA
John Johnson,10/18/1947,77152,https://www.nba.com/stats/player/77152/career/,John Johnson,johnsjo01,10/18/1947,https://www.basketball-reference.com/players/j/johnsjo01.html,27,F,6'7,200 lbs,Iowa,USA
John Konchar,3/22/1996,1629723,https://www.nba.com/stats/player/1629723/career/,John Konchar,konchjo01,3/22/1996,https://www.basketball-reference.com/players/k/konchjo01.html,46,G,6'5,210 lbs,Indiana-Purdue Fort Wayne,USA
John Kuester,2/6/1955,77320,https://www.nba.com/stats/player/77320/career/,John Kuester,kuestjo01,2/6/1955,https://www.basketball-reference.com/players/k/kuestjo01.html,5,G,6'2,180 lbs,North Carolina,USA
John Lambert,1/14/1953,77331,https://www.nba.com/stats/player/77331/career/,John Lambert,lambejo01,1/14/1953,https://www.basketball-reference.com/players/l/lambejo01.html,24,C,6'10,225 lbs,Southern California,USA
John Laskowski,6/7/1953,77341,https://www.nba.com/stats/player/77341/career/,John Laskowski,laskojo01,6/7/1953,https://www.basketball-reference.com/players/l/laskojo01.html,31,G,6'6,185 lbs,Indiana,USA
