NBAName,NBABirthDate,NBAID,NBALinks,BBRefName,BBRefID,BBRefBirthDate,BBRefLink,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
Alonzo Mourning,2/8/1970,297,https://www.nba.com/stats/player/297/career/,Alonzo Mourning,mournal01,2/8/1970,https://www.basketball-reference.com/players/m/mournal01.html,33,C,6'10,261 lbs,Georgetown,USA
Alphonso Ford,10/31/1971,76732,https://www.nba.com/stats/player/76732/career/,Alphonso Ford,fordal01,10/31/1971,https://www.basketball-reference.com/players/f/fordal01.html,8,F,6'1,190 lbs,Mississippi Valley State,USA
Alton Ford,5/29/1981,2228,https://www.nba.com/stats/player/2228/career/,Alton Ford,fordal02,5/29/1981,https://www.basketball-reference.com/players/f/fordal02.html,4,F,6'9,280 lbs,Houston,USA
Alton Lister,10/1/1958,175,https://www.nba.com/stats/player/175/career/,Alton Lister,listeal01,10/1/1958,https://www.basketball-reference.com/players/l/listeal01.html,53,C-F,7'1,245 lbs,Arizona State,USA
Alvan Adams,7/19/1954,76011,https://www.nba.com/stats/player/76011/career/,Alvan Adams,adamsal01,7/19/1954,https://www.basketball-reference.com/players/a/adamsal01.html,33,C,6'9,210 lbs,Oklahoma,USA
Alvin Attles,11/7/1936,76070,https://www.nba.com/stats/player/76070/career/,Al Attles,attleal01,11/7/1936,https://www.basketball-reference.com/players/a/attleal01.html,16,G,6'1,175 lbs,North Carolina A&T,USA
Alvin Heggs,12/8/1967,76987,https://www.nba.com/stats/player/76987/career/,Alvin Heggs,heggsal01,12/12/1967,https://www.basketball-reference.com/players/h/heggsal01.html,55,F,6'8,225 lbs,Texas-Austin,USA
Alvin Holt,8/26/1946,77046,https://www.nba.com/stats/player/77046/career/,A.W. Holt,holtaw01,8/26/1946,https://www.basketball-reference.com/players/h/holtaw01.html,6,F,6'7,210 lbs,Jackson State,USA
Alvin Jones,9/9/1978,2264,https://www.nba.com/stats/player/2264/career/,Alvin Jones,jonesal01,9/9/1978,https://www.basketball-reference.com/players/j/jonesal01.html,42,C,6'11,265 lbs,Georgia Tech,USA
Alvin Robertson,7/22/1962,926,https://www.nba.com/stats/player/926/career/,Alvin Robertson,roberal01,7/22/1962,https://www.basketball-reference.com/players/r/roberal01.html,7,G,6'4,208 lbs,Arkansas,USA
Alvin Scott,9/14/1955,78095,https://www.nba.com/stats/player/78095/career/,Alvin Scott,scottal01,9/14/1955,https://www.basketball-reference.com/players/s/scottal01.html,14,F,6'7,185 lbs,Oral Roberts,USA
Alvin Sims,10/18/1974,1591,https://www.nba.com/stats/player/1591/career/,Alvin Sims,simsal01,10/18/1974,https://www.basketball-reference.com/players/s/simsal01.html,19,G,6'4,235 lbs,Louisville,USA
Alvin Williams,8/6/1974,1541,https://www.nba.com/stats/player/1541/career/,Alvin Williams,willial02,8/6/1974,https://www.basketball-reference.com/players/w/willial02.html,20,G,6'5,195 lbs,Villanova,USA
Amal McCaskill,10/28/1973,1043,https://www.nba.com/stats/player/1043/career/,Amal McCaskill,mccasam01,10/28/1973,https://www.basketball-reference.com/players/m/mccasam01.html,0,C,6'11,235 lbs,Marquette,USA
Amar'e Stoudemire,11/16/1982,2405,https://www.nba.com/stats/player/2405/career/,Amar'e Stoudemire,stoudam01,11/16/1982,https://www.basketball-reference.com/players/s/stoudam01.html,5,F-C,6'10,245 lbs,Cypress Creek HS (FL),USA
Amida Brimah,2/11/1994,1628578,https://www.nba.com/stats/player/1628578/career/,Amida Brimah,brimaam01,2/11/1994,https://www.basketball-reference.com/players/b/brimaam01.html,37,C,6'10,230 lbs,Connecticut,USA
Amile Jefferson,5/7/1993,1628518,https://www.nba.com/stats/player/1628518/career/,Amile Jefferson,jeffeam01,5/7/1993,https://www.basketball-reference.com/players/j/jeffeam01.html,11,F,6'9,222 lbs,Duke,USA
Amir Coffey,6/17/1997,1629599,https://www.nba.com/stats/player/1629599/career/,Amir Coffey,coffeam01,6/17/1997,https://www.basketball-reference.com/players/c/coffeam01.html,7,G-F,6'7,210 lbs,Minnesota,USA
Amir Johnson,5/1/1987,101161,https://www.nba.com/stats/player/101161/career/,Amir Johnson,johnsam01,5/1/1987,https://www.basketball-reference.com/players/j/johnsam01.html,5,C-F,6'9,240 lbs,No College,USA
