,Date,Team,Acquired,Relinquished,Notes
1667,2003-02-26,Wizards,,Etan Thomas,placed on IR with bruised left eye
1668,2003-02-26,Wizards,Jahidi White,,activated from IL
1669,2003-02-27,Clippers,,Keyon Dooling,placed on IR with strained left arch
1670,2003-02-27,Clippers,Wang Zhizhi,,activated from IL
1671,2003-02-28,Magic,,Olumide Oyedeji,placed on IL with sprained left ankle
1672,2003-02-28,Wizards,,Tyronn Lue,placed on IL with separated left shoulder
1673,2003-03-01,Mavericks,,Antoine Rigaudeau,placed on IL with back spasms
1674,2003-03-01,Mavericks,Adrian Griffin,,activated from IL
1675,2003-03-03,Celtics,Bruno Sundov,,activated from IL
1676,2003-03-03,Grizzlies,Robert Archibald,,activated from IL
1677,2003-03-03,Kings,,Damon Jones,placed on IL with sprained right ankle
1678,2003-03-03,Kings,Scot Pollard,,activated from IL
1679,2003-03-04,Heat,,Eddie Jones,placed on IL with sprained right ankle
1680,2003-03-04,Heat,Anthony Carter,,activated from IL
1681,2003-03-04,Pistons,,Chucky Atkins,placed on IL with bone bruise in left knee
1682,2003-03-04,Pistons,Juan Sanchez,,activated from IL
1683,2003-03-05,Suns,,Alton Ford,placed on IL with back spasms
1684,2003-03-05,Suns,Anfernee Hardaway,,activated from IL
1685,2003-03-06,Bulls,,Eddie Robinson,placed on IL with strained right hamstring
1686,2003-03-06,Bulls,Dalibor Bagaric,,activated from IL
1687,2003-03-07,Clippers,,Elton Brand,placed on IL with stress fracture in left leg
1688,2003-03-07,Clippers,Tremaine Fowlkes,,activated from IL
1689,2003-03-07,Knicks,,Lavor Postell,placed on IL with left knee tendinitis
1690,2003-03-07,Knicks,Charlie Ward,,activated from IL
1691,2003-03-07,Lakers,,Tracy Murray,placed on IL with sprained right ankle
1692,2003-03-07,Lakers,Jannero Pargo,,activated from IL
1693,2003-03-08,Celtics,,Mark Bryant,placed on IL with right knee tendinitis
1694,2003-03-08,Mavericks,,Evan Eschmeyer,placed on IL with sore right knee
1695,2003-03-08,Mavericks,Ronald Jones,,activated from IL
1696,2003-03-08,Pacers,,Jamison Brewer,placed on IL with strained left shoulder
1697,2003-03-08,Pacers,Fred Jones,,activated from IL
1698,2003-03-08,Spurs,,David Robinson,placed on IL with lower back pain and spasms
1699,2003-03-10,Heat,,Sean Marks,placed on IL with sprained left elbow
1700,2003-03-10,Heat,Ken Johnson,,activated from IL
1701,2003-03-10,Hornets,,Kirk Haston,placed on IL with back spasms
1702,2003-03-10,Hornets,Baron Davis,,activated from IL
1703,2003-03-11,Pacers,,Fred Jones,placed on IL with left knee patella tendinitis
1704,2003-03-11,Pacers,Jonathan Bender,,activated from IL
1705,2003-03-11,Spurs,Mengke Bateer,,activated from IL
1706,2003-03-12,Grizzlies,,Cezary Trybanski,placed on IL with right knee tendinitis
1707,2003-03-12,Grizzlies,Ryan Humphrey,,activated from IL
1708,2003-03-13,Mavericks,,Avery Johnson,placed on IL with strained right calf
1709,2003-03-13,Mavericks,Tariq Abdul-Wahad,,activated from IL
1710,2003-03-13,Suns,,Randy Brown,placed on IL with strained left calf
1711,2003-03-13,Suns,Iakovos Tsakalidis,,activated from IL
1712,2003-03-13,Wizards,Tyronn Lue,,activated from IL
1713,2003-03-18,Bulls,,Fred Hoiberg,placed on IL with right Achilles tendinitis
1714,2003-03-18,Bulls,Rick Brunson,,activated from IL
1715,2003-03-18,Pistons,,Juan Sanchez,placed on IL with right knee tendinitis
1716,2003-03-18,Pistons,Chucky Atkins,,activated from IL
1717,2003-03-18,Rockets,,Tito Maddox,placed on IR with viral infection
1718,2003-03-18,Rockets,Bostjan Nachbar,,activated from IL
1719,2003-03-18,Timberwolves,,Igor Rakocevic,placed on IR with right ankle synovitis
1720,2003-03-18,Timberwolves,Rod Strickland,,activated from IL
1721,2003-03-19,Blazers,,Scottie Pippen,placed on IL with swelling in left knee
1722,2003-03-19,Blazers,Charles Smith,,activated from IL
1723,2003-03-19,Heat,,Sean Marks,placed on IL with torn ulnar collateral ligament in left elbow (out for season)
1724,2003-03-19,Heat,Ken Johnson,,activated from IL
1725,2003-03-19,Magic,,Pat Burke,placed on IL with left knee patella tendinitis
1726,2003-03-19,Magic,Olumide Oyedeji,,activated from IL
1727,2003-03-19,Nets,,Tamar Slay,placed on IL with right knee patella tendinitis
1728,2003-03-19,Nets,Brandon Armstrong,,activated from IL
1729,2003-03-21,Celtics,,Bruno Sundov,placed on IL with a strained right hamstring
1730,2003-03-21,Celtics,Mark Bryant,,activated from IL
1731,2003-03-21,Nuggets,,Vincent Yarbrough,placed on IL with sprained right ankle
1732,2003-03-21,Spurs,,Mengke Bateer,placed on IL with left knee patella tendinitis
1733,2003-03-21,Spurs,David Robinson,,activated from IL
1734,2003-03-22,Bucks,,Jamal Sampson,placed on IL with sprained right shoulder
1735,2003-03-22,Bucks,Joel Przybilla,,activated from IL
1736,2003-03-22,Bulls,,Dalibor Bagaric,placed on IL with sprained left ankle
1737,2003-03-22,Bulls,Eddie Robinson,,activated from IL
1738,2003-03-22,Mavericks,,Ronald Jones,placed on IL with sprained right ankle
1739,2003-03-22,Mavericks,Avery Johnson,,activated from IL
1740,2003-03-23,Nuggets,,Ryan Bowen,placed on IL with bruised abdominal muscle
1741,2003-03-26,Rockets,,Bostjan Nachbar,placed on IL with strained left groin
1742,2003-03-26,Rockets,Tito Maddox,,activated from IL
1743,2003-03-27,Pacers,,Primoz Brezec,placed on IL with sprained right ankle
1744,2003-03-29,Nets,,Brandon Armstrong,placed on IL with strained lower back
1745,2003-03-29,Nets,Dikembe Mutombo,,activated from IL
1746,2003-03-30,Clippers,,Tremaine Fowlkes,placed on IL with strained right shoulder
1747,2003-03-30,Clippers,Keyon Dooling,,activated from IL
1748,2003-03-30,Mavericks,,Walt Williams,placed on IL with strained left hamstring
1749,2003-03-30,Mavericks,Evan Eschmeyer,,activated from IL
1750,2003-03-30,Timberwolves,,Rod Strickland,placed on IL with strained left groin
1751,2003-03-30,Timberwolves,Igor Rakocevic,,activated from IL
1752,2003-03-31,Nets,,Donny Marshall,placed on IL with strained right groin
1753,2003-03-31,Nets,Tamar Slay,,activated from IL
1754,2003-04-01,Clippers,,Cherokee Parks,placed on IL with back spasms
1755,2003-04-01,Clippers,Elton Brand,,activated from IL
1756,2003-04-02,Nuggets,,Adam Harrington,placed on IL with bruised left knee
1757,2003-04-02,Nuggets,Vincent Yarbrough,,activated from IL
1758,2003-04-03,Blazers,,Charles Smith,placed on IL
1759,2003-04-03,Blazers,Ruben Boumtje Boumtje,,activated from IL
1760,2003-04-03,Mavericks,,Michael Finley,placed on IL with strained left hamstring
1761,2003-04-03,Mavericks,Ronald Jones,,activated from IL
1762,2003-04-04,Nuggets,,Predrag Savovic,placed on IR with dislocated finger
1763,2003-04-06,Magic,,Olumide Oyedeji,placed on IL
1764,2003-04-06,Magic,Pat Burke,,activated from IL
1765,2003-04-08,Grizzlies,,Lorenzen Wright,placed on IL with sprained right thumb
1766,2003-04-08,Grizzlies,,Mike Miller,placed on IL with back spasms
1767,2003-04-08,Grizzlies,Cezary Trybanski,,activated from IL
1768,2003-04-08,Grizzlies,Chris Owens,,activated from IL
1769,2003-04-08,Knicks,,Othella Harrington,placed on IL with plantar fasciaitis in right foot
1770,2003-04-08,Knicks,Lavor Postell,,activated from IL
1771,2003-04-08,Pistons,,Danny Manning,placed on IL with strained lower back
1772,2003-04-08,Pistons,Zeljko Rebraca,,activated from IL
1773,2003-04-11,Bulls,,Tyson Chandler,placed on IR with esophagitis
1774,2003-04-11,Bulls,Dalibor Bagaric,,activated from IL
1775,2003-04-11,Timberwolves,,Igor Rakocevic,placed on IR with right ankle synovitis
1776,2003-04-11,Timberwolves,Rod Strickland,,activated from IL
1777,2003-04-12,Clippers,,Quentin Richardson,placed on IL with bruised left knee
1778,2003-04-12,Clippers,Tremaine Fowlkes,,activated from IL
1779,2003-04-12,Mavericks,,Evan Eschmeyer,placed on IL with sore right knee
1780,2003-04-12,Mavericks,Walt Williams,,activated from IL
1781,2003-04-13,Bulls,,Donyell Marshall,placed on IL with strained right shoulder
1782,2003-04-13,Bulls,Fred Hoiberg,,activated from IL
1783,2003-04-14,Mavericks,,Ronald Jones,placed on IL with sprained right ankle
1784,2003-04-14,Mavericks,Michael Finley,,activated from IL
1785,2003-04-14,Sonics,,Elden Campbell,placed on IR with bruised right buttock
1786,2003-04-14,Sonics,Ronald Murray,,activated from IL
1787,2003-04-15,Blazers,,Ruben Boumtje Boumtje,placed on IL with left knee tendinitis
1788,2003-04-15,Blazers,Scottie Pippen,,activated from IL
1789,2003-04-15,Rockets,,Maurice Taylor,placed on IL with sore left foot
1790,2003-04-15,Rockets,Bostjan Nachbar,,activated from IL
1791,2003-04-16,Blazers,,Dale Davis,placed on IL with strained lower back
1792,2003-04-16,Blazers,Chris Dudley,,activated from IL
1793,2003-04-16,Bucks,,Jason Caffey,placed on IL with sore back
1794,2003-04-16,Bucks,Jamal Sampson,,activated from IL
1795,2003-04-16,Magic,,Pat Garrity,placed on IL with strained groin
1796,2003-04-16,Magic,Olumide Oyedeji,,activated from IL
1797,2003-04-16,Nets,,Dikembe Mutombo,placed on IL with sore right wrist
1798,2003-04-16,Nets,Brandon Armstrong,,activated from IL
1799,2003-04-16,Pistons,,Ben Wallace,placed on IL with sprained MCL in left knee
1800,2003-04-16,Pistons,,Clifford Robinson,placed on IL with left knee tendinitis
1801,2003-04-16,Pistons,,Zeljko Rebraca,placed on IL with strained lower back
1802,2003-04-16,Pistons,Danny Manning,,activated from IL
1803,2003-04-16,Pistons,Don Reid,,activated from IL
1804,2003-04-16,Pistons,Juan Sanchez,,activated from IL
1805,2003-04-16,Spurs,,Stephen Jackson,placed on IL with sprained left thumb
1806,2003-04-16,Spurs,,Tim Duncan,placed on IR with left knee effusion
1807,2003-04-16,Spurs,Mengke Bateer,,activated from IL
1808,2003-04-18,Bucks,Jason Caffey,,activated from IL
1809,2003-04-18,Mavericks,Evan Eschmeyer,,activated from IL
1810,2003-07-01,Bulls,Donyell Marshall,,activated from IL
1811,2003-07-01,Bulls,Marcus Fizer,,activated from IL
1812,2003-07-01,Bulls,Tyson Chandler,,activated from IL
1813,2003-07-01,Celtics,Bruno Sundov,,activated from IL
1814,2003-07-01,Hawks,Chris Crawford,,activated from IL
1815,2003-07-01,Hawks,Emanual Davis,,activated from IL
1816,2003-07-01,Hornets,Bryce Drew,,activated from IL
1817,2003-07-01,Hornets,Kirk Haston,,activated from IL
1818,2003-07-01,Hawks,DerMarr Johnson,,activated from IL
1819,2003-07-01,Lakers,Tracy Murray,,activated from IL
1820,2003-10-27,76ers,,Greg Buckner,placed on IL with strained left hamstring
1821,2003-10-27,76ers,,Monty Williams,placed on IL with sore left knee
1822,2003-10-27,76ers,,Todd MacCulloch,placed on IL with right foot neuropathy
1823,2003-10-27,Blazers,,Travis Outlaw,placed on IL with patellar tendinitis in both knees
1824,2003-10-27,Bucks,,Joel Przybilla,placed on IR with strained patellar tendon in right knee
1825,2003-10-27,Bulls,,Jay Williams,placed on IR with injuries to fractured left pelvis & dislocated left knee
1826,2003-10-27,Bulls,,Kirk Hinrich,placed on IR with viral illness
1827,2003-10-27,Bulls,,Linton Johnson III,placed on IL with sprained right ankle
1828,2003-10-27,Cavaliers,,Bruno Sundov,placed on IL with right Achilles tendinitis
1829,2003-10-27,Cavaliers,,Dajuan Wagner,placed on IR with right knee effusion
1830,2003-10-27,Cavaliers,,Ira Newble,placed on IL with right knee patella tendinitis
1831,2003-10-27,Celtics,,Brandon Hunter,placed on IL with right Achilles tendinitis
1832,2003-10-27,Celtics,,Chris Mills,placed on IR with right heel spurs
1833,2003-10-27,Celtics,,Kendrick Perkins,placed on IR with bilateral infraptellar tendinitis
1834,2003-10-27,Clippers,,Glen Rice Sr.,placed on IL with hyperextended right knee
1835,2003-10-27,Clippers,,Josh Moore,placed on IL with lower back spasms
1836,2003-10-27,Clippers,,Olden Polynice,placed on IL with strained neck
1837,2003-10-27,Grizzlies,,Dahntay Jones,placed on IL with sprained left ankle
1838,2003-10-27,Grizzlies,,Ryan Humphrey,placed on IL with concussion
1839,2003-10-27,Grizzlies,,Theron Smith,placed on IL with right knee tendinitis
1840,2003-10-27,Hawks,,Dan Dickau,placed on IR with right heel tendinitis
1841,2003-10-27,Hawks,,Obinna Ekezie,placed on IL with torn ACL in right knee
1842,2003-10-27,Hawks,,Terrell Brandon,placed on IL with left knee injury
1843,2003-10-27,Heat,,Caron Butler,placed on IL recovering from surgery on left knee
1844,2003-10-27,Heat,,Rasual Butler,placed on IL with fractured finger in left hand
1845,2003-10-27,Hornets,,Courtney Alexander,placed on IL with torn right Achilles tendon
1846,2003-10-27,Hornets,,Jamal Mashburn,placed on IL with bone bruise in right knee
1847,2003-10-27,Hornets,,James Lang,placed on IL with back spasms
1848,2003-10-27,Jazz,,Curtis Borchardt,placed on IL with fractured left index finger
1849,2003-10-27,Jazz,,Michael Ruffin,placed on IL with abdominal strain
1850,2003-10-27,Kings,,Chris Webber,placed on IL recovering from surgery on left knee
1851,2003-10-27,Kings,,Lawrence Funderburke,placed on IL with left Achilles tendinitis
1852,2003-10-27,Knicks,,Antonio McDyess,placed on IL recovering from surgery on left knee
1853,2003-10-27,Knicks,,Maciej Lampe,placed on IL with shin splints
1854,2003-10-27,Knicks,,Slavko Vranes,placed on IL with right knee patella tendinitis
1855,2003-10-27,Lakers,,Brian Cook,placed on IL recovering from surgery on left ring finger
1856,2003-10-27,Lakers,,Jamal Sampson,placed on IL
1857,2003-10-27,Lakers,,Rick Fox,placed on IL recovering from surgery on left foot
1858,2003-10-27,Magic,,Grant Hill,placed on IL
1859,2003-10-27,Magic,,Keith Bogans,placed on IL
1860,2003-10-27,Magic,,Pat Garrity,placed on IL with torn ACL in knee (out indefinitely)
1861,2003-10-27,Mavericks,,Jon Stefansson,placed on IL with sprained left ankle
1862,2003-10-27,Mavericks,,Tariq Abdul-Wahad,placed on IL with left knee tendinitis
1863,2003-10-27,Nets,,Damone Brown,placed on IL with back spasms
1864,2003-10-27,Nets,,Lucious Harris,placed on IL with sore lower back
1865,2003-10-27,Nets,,Tamar Slay,placed on IR with bruised left shin
1866,2003-10-27,Nuggets,,Chris Marcus,placed on IL with sprained left foot and ankle
1867,2003-10-27,Nuggets,,Jeff Trepagnier,placed on IL with sprained left ankle
1868,2003-10-27,Nuggets,,Mark Pope,placed on IL with left knee patella tendinitis
1869,2003-10-27,Pacers,,James Jones,placed on IL with hamstring injury
1870,2003-10-27,Pacers,,Jamison Brewer,placed on IL with sprained toe
1871,2003-10-27,Pacers,,Jonathan Bender,placed on IL recovering from surgery on left knee
1872,2003-10-27,Pistons,,Darvin Ham,placed on IL with sprained right wrist
1873,2003-10-27,Pistons,,Hubert Davis,placed on IL with strained left hamstring
1874,2003-10-27,Raptors,,Eric Montross,placed on IL
1875,2003-10-27,Raptors,,Michael Bradley,placed on IL with right knee tendinitis
1876,2003-10-27,Raptors,,Rick Brunson,placed on IL with bruised left quadriceps
1877,2003-10-27,Rockets,,Adrian Griffin,placed on IL recovering from surgery on right knee
1878,2003-10-27,Rockets,,Ben Davis,placed on IL with knee surgery
1879,2003-10-27,Rockets,,Eric Piatkowski,placed on IL with sprained left ankle
1880,2003-10-27,Sonics,,Nick Collison,placed on IL recovering from surgery on shoulder
1881,2003-10-27,Sonics,,Ray Allen,placed on IL with bone fragment in right ankle
1882,2003-10-27,Spurs,,Alex Garcia,placed on IL with broken toe on left foot
1883,2003-10-27,Spurs,,Devin Brown,placed on IL with left knee patellar tendinitis
1884,2003-10-27,Spurs,,Sean Marks,placed on IL with left knee patella tendinitis
1885,2003-10-27,Suns,,Robert Archibald,placed on IL with sprained toe
1886,2003-10-27,Suns,,Scott Williams,placed on IL recovering from surgery on left thumb
1887,2003-10-27,Timberwolves,,Troy Hudson,placed on IL with sprained right ankle
1888,2003-10-27,Warriors,,Evan Eschmeyer,placed on IL with knee surgery
1889,2003-10-27,Warriors,,Juan Sanchez,placed on IL with sprained left ankle
1890,2003-10-27,Warriors,,Troy Murphy,placed on IL with torn plantar fascia in right foot
1891,2003-10-27,Wizards,,Jerry Stackhouse,placed on IL recovering from surgery on right knee
1892,2003-10-27,Wizards,,Mitchell Butler,placed on IL with right knee tendinitis
1893,2003-10-28,Pistons,,Lindsey Hunter,placed on IL with strained right hamstring
1894,2003-10-29,Timberwolves,,Wally Szczerbiak,placed on IR with inflammed arch in left foot
1895,2003-10-31,Spurs,,Anthony Carter,placed on IL with knee tendinitis
1896,2003-10-31,Warriors,,Mickael Pietrus,placed on IL with sprained left ankle (right ankle per SN)
1897,2003-11-03,Heat,,Samaki Walker,placed on IL with sore right shoulder
1898,2003-11-04,Bucks,,Brian Skinner,placed on IL with arthroscopic surgery on left knee
1899,2003-11-05,Blazers,,Ruben Patterson,placed on IL with left Achilles tendinitis
1900,2003-11-07,Blazers,,Derek Anderson,placed on IL with back spasms
1901,2003-11-07,Bulls,,Marcus Fizer,placed on IL with right knee inflammation
1902,2003-11-07,Bulls,,Roger Mason Jr.,placed on IL with strained left groin
1903,2003-11-07,Bulls,Kirk Hinrich,,activated from IL
1904,2003-11-07,Bulls,Linton Johnson III,,activated from IL
1905,2003-11-07,Heat,,Malik Allen,placed on IL recovering from surgery on right foot
1906,2003-11-07,Heat,Caron Butler,,activated from IL
1907,2003-11-07,Magic,,Britton Johnsen,placed on IL with left knee patella tendinitis
1908,2003-11-07,Magic,,Britton Johnson,placed on IL
1909,2003-11-07,Magic,,Gordan Giricek,placed on IL with strained right arch
1910,2003-11-07,Magic,Keith Bogans,,activated from IL
1911,2003-11-07,Magic,Pat Garrity,,activated from IL
1912,2003-11-07,Nets,,Rodney Rogers,placed on IL with lacerated left hand
1913,2003-11-07,Nets,Tamar Slay,,activated from IL
1914,2003-11-08,Blazers,Travis Outlaw,,activated from IL
1915,2003-11-08,Cavaliers,Ira Newble,,activated from IL
1916,2003-11-08,Grizzlies,,Troy Bell,placed on IL with left knee tendinitis
1917,2003-11-08,Grizzlies,Theron Smith,,activated from IL
1918,2003-11-08,Hawks,,Alan Henderson,placed on IL with sore back
1919,2003-11-08,Hawks,Dan Dickau,,activated from IL
1920,2003-11-08,Jazz,,Keon Clark,placed on IL with bone spurs in right ankle
1921,2003-11-08,Jazz,Curtis Borchardt,,activated from IL
1922,2003-11-08,Spurs,,Ron Mercer,placed on IR with left peroneal synovitis
1923,2003-11-08,Spurs,Devin Brown,,activated from IL
1924,2003-11-09,Pistons,,Chucky Atkins,placed on IL with strained left knee
1925,2003-11-09,Pistons,Lindsey Hunter,,activated from IL
1926,2003-11-09,Raptors,,Chris Jefferies,placed on IL with strained lower back
1927,2003-11-09,Raptors,Rick Brunson,,activated from IL
1928,2003-11-12,Cavaliers,,Michael Stewart,placed on IL with right knee tendinitis
1929,2003-11-12,Cavaliers,Bruno Sundov,,activated from IL
1930,2003-11-12,Warriors,,Ronald Jones,placed on IL recovering from surgery on left knee
1931,2003-11-12,Warriors,Mickael Pietrus,,activated from IL
1932,2003-11-14,Celtics,,Raef LaFrentz,placed on IL with right knee tendinitis
1933,2003-11-14,Celtics,Kendrick Perkins,,activated from IL
1934,2003-11-14,Lakers,,Stanislav Medvedenko,placed on IL with bruised left heel
1935,2003-11-14,Lakers,Jamal Sampson,,activated from IL
1936,2003-11-15,Clippers,,Elton Brand,placed on IR with hairline fracture of right foot
1937,2003-11-15,Clippers,Glen Rice Sr.,,activated from IL
1938,2003-11-16,Magic,,Pat Garrity,placed on IL with right knee injury
1939,2003-11-16,Magic,,Shammond Williams,placed on IL with sprained left knee
1940,2003-11-16,Magic,Gordan Giricek,,activated from IL
1941,2003-11-18,Bulls,,Linton Johnson III,placed on IL with sprained right ankle
1942,2003-11-18,Bulls,Marcus Fizer,,activated from IL
1943,2003-11-18,Nets,,Tamar Slay,placed on IR with sprained right groin
1944,2003-11-18,Nets,Rodney Rogers,,activated from IL
1945,2003-11-18,Pistons,,Zeljko Rebraca,placed on IL with back spasms
1946,2003-11-18,Pistons,Darvin Ham,,activated from IL
1947,2003-11-18,Spurs,,Sean Marks,placed on IL with left knee tendinitis
1948,2003-11-18,Spurs,Anthony Carter,,activated from IL
1949,2003-11-18,Suns,,Cezary Trybanski,placed on IL with back spasms
1950,2003-11-18,Suns,Scott Williams,,activated from IL
1951,2003-11-19,Blazers,,Travis Outlaw,placed on IL with patellar tendinitis in both knees
1952,2003-11-19,Blazers,Ruben Patterson,,activated from IL
1953,2003-11-19,Heat,,Jerome Beasley,placed on IL with strained lower back
1954,2003-11-19,Heat,Samaki Walker,,activated from IL
1955,2003-11-21,Grizzlies,,Theron Smith,placed on IL with back spasms
1956,2003-11-21,Grizzlies,Dahntay Jones,,activated from IL
1957,2003-11-23,Lakers,,Jamal Sampson,placed on IL with back spasms
1958,2003-11-23,Lakers,Stanislav Medvedenko,,activated from IL
1959,2003-11-24,Rockets,,Mike Wilks,placed on IL with bruised right shoulder
1960,2003-11-24,Rockets,Eric Piatkowski,,activated from IL
1961,2003-11-25,76ers,,Glenn Robinson,placed on IL with sprained left ankle
1962,2003-11-25,76ers,Greg Buckner,,activated from IL
1963,2003-11-25,Nets,,Alonzo Mourning,placed on IL with kidney disorder
1964,2003-11-25,Nets,Lucious Harris,,activated from IL
1965,2003-11-25,Spurs,,Anthony Carter,placed on IL with left knee tendinitis
1966,2003-11-25,Spurs,Ron Mercer,,activated from IL
1967,2003-11-25,Wizards,,Gilbert Arenas,placed on IL with abdominal strain
1968,2003-11-28,Cavaliers,,Bruno Sundov,placed on IL with bruised right wrist
1969,2003-11-28,Cavaliers,Michael Stewart,,activated from IL
1970,2003-11-28,Celtics,,Kendrick Perkins,placed on IR with bilateral infraptellar tendinitis
1971,2003-11-28,Celtics,Raef LaFrentz,,activated from IL
1972,2003-11-28,Suns,,Zarko Cabarkapa,placed on IL with fractured right wrist
1973,2003-11-28,Suns,Robert Archibald,,activated from IL
1974,2003-11-29,Pistons,,Lindsey Hunter,placed on IL with strained MCL in left knee
1975,2003-11-29,Pistons,Hubert Davis,,activated from IL
1976,2003-11-29,Wizards,Mitchell Butler,,activated from IL
1977,2003-12-01,Bulls,,Tyson Chandler,placed on IL with sore lower back
1978,2003-12-01,Bulls,Linton Johnson III,,activated from IL
1979,2003-12-01,Clippers,,Glen Rice Sr.,placed on IL with bruised right knee
1980,2003-12-01,Clippers,Olden Polynice,,activated from IL
1981,2003-12-01,Knicks,,Michael Sweetney,placed on IL with left patella tendinitis
1982,2003-12-01,Knicks,Antonio McDyess,,activated from IL
1983,2003-12-03,Blazers,Travis Outlaw,,activated from IL
1984,2003-12-03,Pacers,,Jamaal Tinsley,placed on IL with sore lower back
1985,2003-12-03,Pacers,Jamison Brewer,,activated from IL
1986,2003-12-05,Bucks,,Toni Kukoc,placed on IL with back spasms
1987,2003-12-05,Clippers,,Eddie House,placed on IL with sprained left foot
1988,2003-12-05,Clippers,Elton Brand,,activated from IL
1989,2003-12-05,Magic,,Reece Gaines,placed on IL with right patella tendinitis
1990,2003-12-05,Magic,Shammond Williams,,activated from IL
1991,2003-12-06,Suns,,Amare Stoudemire,placed on IL with sprained left ankle
1992,2003-12-06,Suns,Cezary Trybanski,,activated from IL
1993,2003-12-08,Cavaliers,,DeSagana Diop,placed on IL recovering from surgery on right knee
1994,2003-12-08,Cavaliers,Bruno Sundov,,activated from IL
1995,2003-12-09,Pistons,,Darvin Ham,placed on IL with sprained right wrist
1996,2003-12-09,Pistons,,Hubert Davis,placed on IL with sprained left thumb
1997,2003-12-09,Pistons,Chucky Atkins,,activated from IL
1998,2003-12-09,Pistons,Zeljko Rebraca,,activated from IL
1999,2003-12-10,76ers,,Willie Green,placed on IL recovering from surgery on right thumb
2000,2003-12-10,76ers,Glenn Robinson,,activated from IL
2001,2003-12-10,Clippers,,Olden Polynice,placed on IL with strained neck
2002,2003-12-10,Clippers,Glen Rice Sr.,,activated from IL
2003,2003-12-10,Grizzlies,,Dahntay Jones,placed on IL with left Achilles tendinitis
2004,2003-12-10,Grizzlies,Troy Bell,,activated from IL
2005,2003-12-12,Heat,,Wang Zhizhi,placed on IL with patellar tendinitis
2006,2003-12-12,Heat,Rasual Butler,,activated from IL
2007,2003-12-12,Nets,,Brandon Armstrong,placed on IL with sprained left ankle
2008,2003-12-12,Nets,,Zoran Planinic,placed on IL with strained neck
2009,2003-12-12,Nets,Damone Brown,,activated from IL
2010,2003-12-12,Nets,Tamar Slay,,activated from IL
2011,2003-12-12,Wizards,,Mitchell Butler,placed on IL with right knee tendinitis
2012,2003-12-12,Wizards,Gilbert Arenas,,activated from IL
2013,2003-12-13,Celtics,,Raef LaFrentz,placed on IL with right knee tendinitis
2014,2003-12-13,Celtics,Kendrick Perkins,,activated from IL
2015,2003-12-13,Timberwolves,,Michael Olowokandi,placed on IL recovering from surgery on right knee
2016,2003-12-14,Wizards,,Gilbert Arenas,placed on IL with strained stomach muscle
2017,2003-12-16,Bulls,,Scottie Pippen,placed on IR recovering from arthroscopic surgery on left knee
2018,2003-12-16,Heat,,Samaki Walker,placed on IL with stress reaction in right ankle
2019,2003-12-16,Heat,Malik Allen,,activated from IL
2020,2003-12-16,Raptors,,Mengke Bateer,placed on IL with strained left knee
2021,2003-12-16,Warriors,,Adonal Foyle,placed on IL recovering from surgery on left knee
2022,2003-12-16,Warriors,Troy Murphy,,activated from IL
2023,2003-12-19,Blazers,,Travis Outlaw,placed on IL with bilateral patellar tendinitis
2024,2003-12-19,Clippers,,Predrag Drobnjak,placed on IL with back spasms
2025,2003-12-19,Clippers,Eddie House,,activated from IL
2026,2003-12-20,Bucks,,Dan Langhi,placed on IL with sore left ankle
2027,2003-12-20,Bucks,Toni Kukoc,,activated from IL
2028,2003-12-20,Timberwolves,Troy Hudson,,activated from IL
2029,2003-12-22,Kings,Lawrence Funderburke,,activated from IL
2030,2003-12-22,Nuggets,,Jon Barry,placed on IL with strained neck
2031,2003-12-22,Nuggets,Jeff Trepagnier,,activated from IL
2032,2003-12-23,76ers,,Marc Jackson,placed on IR recovering from surgery on broken left ring finger
2033,2003-12-23,Clippers,,Melvin Ely,placed on IL with flu
2034,2003-12-23,Clippers,Olden Polynice,,activated from IL
2035,2003-12-23,Lakers,,Jannero Pargo,placed on IL with patellar tendinitis
2036,2003-12-23,Lakers,Brian Cook,,activated from IL
2037,2003-12-23,Rockets,,John Amaechi,placed on IL with intestinal virus
2038,2003-12-23,Rockets,Mike Wilks,,activated from IL
2039,2003-12-23,Sonics,,Ansu Sesay,placed on IL with sprained left ring finger
2040,2003-12-23,Sonics,Ray Allen,,activated from IL
2041,2003-12-23,Suns,,Robert Archibald,placed on IL with flu
2042,2003-12-25,Pacers,,Kenny Anderson,placed on IL with strained right calf muscle
2043,2003-12-25,Pacers,Jamaal Tinsley,,activated from IL
2044,2003-12-26,Bucks,,Joel Przybilla,placed on IL with right knee tendinitis
2045,2003-12-26,Bucks,Brian Skinner,,activated from IL
2046,2003-12-26,Knicks,,Clarence Weatherspoon,placed on IL with left Achilles tendinitis
2047,2003-12-26,Knicks,Michael Sweetney,,activated from IL
2048,2003-12-26,Nets,,Tamar Slay,placed on IL with strained right groin
2049,2003-12-26,Nets,Brandon Armstrong,,activated from IL
2050,2003-12-26,Wizards,,Chris Whitney,placed on IL with sprained left ankle
2051,2003-12-26,Wizards,Mitchell Butler,,activated from IL
2052,2003-12-27,Heat,,John Wallace,placed on IL with right knee tendinitis
2053,2003-12-27,Heat,Samaki Walker,,activated from IL
2054,2003-12-29,Hawks,Alan Henderson,,activated from IL
2055,2003-12-29,Heat,,Udonis Haslem,placed on IL with sprained MCL in right knee
2056,2003-12-29,Heat,Wang Zhizhi,,activated from IL
