Date,Team,Acquired,Relinquished,Notes
4/28/2012,Heat,,Eddy Curry,placed on IL
4/28/2012,Heat,,Terrel Harris,placed on IL
4/28/2012,Heat,Dwyane Wade,,activated from IL
4/28/2012,Knicks,,Toney Douglas,placed on IL
4/28/2012,Mavericks,,Dominique Jones,placed on IL
4/28/2012,Pacers,,Kyrylo Fesenko,placed on IL
4/28/2012,Thunder,,Reggie Jackson (Shon),placed on IL
4/29/2012,Celtics,,JaJuan Johnson,placed on IL
4/29/2012,Clippers,,Travis Leslie,placed on IL
4/29/2012,Lakers,,Darius Morris,placed on IL
4/29/2012,Spurs,,Cory Joseph,placed on IL
4/29/2012,Spurs,,Derrick Byars,placed on IL
4/30/2012,Knicks,,Iman Shumpert,placed on IL with torn lateral meniscus / ACL (CBC) / ACL and MCL (P) in left knee (out for season)
4/30/2012,Knicks,Toney Douglas,,activated from IL
4/30/2012,Magic,,DeAndre Liggins,placed on IL
5/1/2012,Bulls,,Derrick Rose,placed on IL with torn ACL in left knee (out for season)
5/1/2012,Bulls,Brian Scalabrine,,activated from IL
5/2/2012,Clippers,,Caron Butler,placed on IL with fractured metacarpal bone in left hand (out for season)
5/2/2012,Clippers,Travis Leslie,,activated from IL
5/2/2012,Grizzlies,,Jeremy Pargo,placed on IL
5/2/2012,Grizzlies,Josh Selby,,activated from IL
5/3/2012,Knicks,,Amare Stoudemire / Amar'e Stoudemire,placed on IL with left hand injury
5/4/2012,Celtics,,Sean Williams,placed on IL
5/4/2012,Celtics,Ray Allen,,activated from IL
5/5/2012,Clippers,,Travis Leslie,placed on IL
5/5/2012,Clippers,Caron Butler,,activated from IL
5/6/2012,Hawks,,Jerry Stackhouse,placed on IL (out for season)
5/6/2012,Hawks,Al Horford,,activated from IL
5/6/2012,Knicks,Amare Stoudemire / Amar'e Stoudemire,,activated from IL
5/9/2012,Knicks,,Baron Davis,"placed on IL with torn ACL, MCL, and patella tendon in right knee (out for season)"
5/10/2012,Lakers,,Metta World Peace / Ron Artest,placed on IL for suspension
5/10/2012,Lakers,Darius Morris,,activated from IL
5/12/2012,76ers,,Craig Brackins,placed on IL
5/12/2012,76ers,Xavier Silas,,activated from IL
5/12/2012,Lakers,,Christian Eyenga,placed on IL
5/12/2012,Lakers,Metta World Peace / Ron Artest,,activated from IL
5/15/2012,Heat,,Chris Bosh,placed on IL with strained abdominal muscle
5/15/2012,Heat,Terrel Harris,,activated from IL
5/21/2012,Celtics,,Avery Bradley,placed on IL with left shoulder injury (out for season)
5/21/2012,Celtics,Sean Williams,,activated from IL
6/5/2012,Heat,,Terrel Harris,placed on IL
6/5/2012,Heat,Chris Bosh,,activated from IL
6/12/2012,Heat,,Dexter Pittman,placed on IL (out for season)
6/12/2012,Heat,Terrel Harris,,activated from IL
10/30/2012,Cavaliers,,Jeremy Pargo,placed on IL
10/30/2012,Cavaliers,,Luke Harangody,placed on IL
10/30/2012,Celtics,,Fab Melo,placed on IL
10/30/2012,Heat,,Dexter Pittman,placed on IL with strained quadricep
10/30/2012,Heat,,Joel Anthony,placed on IL with strained left hamstring
10/30/2012,Lakers,,Darius Johnson-Odom,placed on IL
10/30/2012,Lakers,,Earl Clark,placed on IL with strained left groin
10/30/2012,Mavericks,,Chris Kaman,placed on IL with strained right calf
10/30/2012,Mavericks,,Dirk Nowitzki,placed on IL recovering from arthroscopic surgery on right knee
10/30/2012,Wizards,,John Wall (Hildred),placed on IL with strained left knee
10/30/2012,Wizards,,Kevin Seraphin,placed on IL with strained right calf
10/30/2012,Wizards,,Nene / Nene Hilario / Maybyner Hilario,placed on IL with plantar fasciitis in left foot
10/30/2012,Celtics,,Avery Bradley,placed on IL recovering from surgery on left shoulder
10/31/2012,76ers,,Andrew Bynum,placed on IL with rehab on right knee (out for season)
10/31/2012,Blazers,,Elliot Williams,placed on IL recovering from surgery to repair torn left Achilles tendon (out for season)
10/31/2012,Blazers,,Ronnie Price,placed on IL with sprained right ankle
10/31/2012,Bulls,,Derrick Rose,placed on IL recovering from surgery on left knee to repair torn ACL (out for season)
10/31/2012,Clippers,,Chauncey Billups,placed on IL recovering from surgery to repair turn left Achilles tendon
10/31/2012,Clippers,,Grant Hill,placed on IL with bone bruise in right knee
10/31/2012,Clippers,,Trey Thompkins,placed on IL with bone bruise in left knee
10/31/2012,Grizzlies,,Darrell Arthur,placed on IL with fractured bone in left leg
10/31/2012,Hornets,,Eric Gordon,placed on IL with sore left knee / right knee injury
10/31/2012,Jazz,,Earl Watson,placed on IL with rehab on right (P) / left (CBC) knee
10/31/2012,Nuggets,,Julyan Stone,placed on IL
10/31/2012,Nuggets,,Timofey Mozgov,placed on IL with strained left knee
10/31/2012,Pacers,,Danny Granger,placed on IL with sore left knee / patellar tendinitis in left knee
10/31/2012,Pacers,,Miles Plumlee,placed on IL
10/31/2012,Pistons,,Corey Maggette,placed on IL with strained left calf
10/31/2012,Pistons,,Viacheslav Kravtsov / Viacheslav Kravstov / Sasha Kravtsov,placed on IL
10/31/2012,Raptors,,Dominic McGuire,placed on IL
10/31/2012,Raptors,,Quincy Acy,placed on IL
10/31/2012,Rockets,,Patrick Patterson,placed on IL with strained left quadricep
10/31/2012,Rockets,,Scott Machado,placed on IL
10/31/2012,Spurs,,Emanuel Ginobili / Manu Ginobili,placed on IL with back spasms
10/31/2012,Suns,,Channing Frye,placed on IL with enlarged heart (out for season)
10/31/2012,Suns,,Diante Garrett,placed on IL
10/31/2012,Warriors,,Jeremy Tyler,placed on IL
10/31/2012,Warriors,,Kent Bazemore,placed on IL
11/1/2012,Thunder,,Daniel Orton,placed on IL
11/2/2012,Bobcats,,DeSagana Diop,placed on IL
11/2/2012,Bucks,,John Henson,placed on IL with bone bruise in left knee / sprained left knee
11/2/2012,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,placed on IL recovering from surgery on right knee
11/2/2012,Hawks,,Johan Petro,placed on IL with sore back
11/2/2012,Heat,,Terrel Harris,placed on IL
11/2/2012,Heat,Joel Anthony,,activated from IL
11/2/2012,Knicks,,Amare Stoudemire / Amar'e Stoudemire,placed on IL recovering from arthroscopic surgery on left knee
11/2/2012,Knicks,,Iman Shumpert,placed on IL recovering from surgery on left knee to repair torn lateral meniscus / ACL
11/2/2012,Lakers,,Steve Nash,placed on IL with fractured left leg
11/2/2012,Lakers,Earl Clark,,activated from IL
11/2/2012,Magic,,Al Harrington,placed on IL with right knee rehab / surgery on left knee (CBC)
11/2/2012,Magic,,DeQuan Jones,placed on IL with strained left groin (P) / abdominal surgery (CBC)
11/2/2012,Pacers,,Jeff Pendergraph / Jeff Ayres,placed on IL with headaches/concussion
11/2/2012,Pacers,Miles Plumlee,,activated from IL
11/2/2012,Rockets,,Greg Smith (b. 1991-01-08),placed on IL with sore left foot
11/2/2012,Rockets,Patrick Patterson,,activated from IL
11/2/2012,Timberwolves,,Kevin Love,placed on IL with fractured right hand
11/2/2012,Timberwolves,,Ricky Rubio,placed on IL recovering from surgery on left knee to repair torn ACL
11/3/2012,Blazers,,Aleksandar Pavlovic / Sasha Pavlovic,placed on IL with strained quadricep
11/3/2012,Blazers,Ronnie Price,,activated from IL
11/3/2012,Heat,,Josh Harrellson,placed on IL
11/3/2012,Heat,Terrel Harris,,activated from IL
11/3/2012,Mavericks,,Rodrigue Beaubois,placed on IL with sprained left ankle
11/3/2012,Mavericks,Chris Kaman,,activated from IL
11/3/2012,Nets,,Jerry Stackhouse,placed on IL
11/3/2012,Nets,,Josh Childress,placed on IL with sore/sprained left ankle
11/3/2012,Raptors,Dominic McGuire,,activated from IL
11/3/2012,Rockets,,Royce White,placed on IL
11/3/2012,Rockets,Scott Machado,,activated from IL
11/3/2012,Spurs,,Cory Joseph,placed on IL
11/3/2012,Spurs,Emanuel Ginobili / Manu Ginobili,,activated from IL
11/3/2012,Warriors,,Andrew Bogut,placed on IL
11/3/2012,Warriors,Jeremy Tyler,,activated from IL
11/3/2012,Warriors,Kent Bazemore,,activated from IL
11/3/2012,Wizards,Kevin Seraphin,,activated from IL
11/3/2012,Warriors,,Brandon Rush,placed on IL with torn ACL in left knee (out for season)
11/4/2012,Magic,,Hidayet Turkoglu / Hedo Turkoglu,placed on IL with fractured left hand
11/4/2012,Magic,DeQuan Jones,,activated from IL
11/4/2012,Pistons,,Khris Middleton,placed on IL
11/4/2012,Pistons,Viacheslav Kravtsov / Viacheslav Kravstov / Sasha Kravtsov,,activated from IL
11/5/2012,Blazers,,Victor Claver,placed on IL
11/5/2012,Blazers,Aleksandar Pavlovic / Sasha Pavlovic,,activated from IL
11/5/2012,Nets,,Gerald Wallace,placed on IL with sprained left ankle
11/5/2012,Nets,Jerry Stackhouse,,activated from IL
11/5/2012,Suns,Diante Garrett,,activated from IL
11/5/2012,Warriors,,Kent Bazemore,placed on IL
11/5/2012,Warriors,Andrew Bogut,,activated from IL
11/6/2012,Nuggets,,Quincy Miller,placed on IL
11/6/2012,Nuggets,Timofey Mozgov,,activated from IL
11/6/2012,Pistons,,Viacheslav Kravtsov / Viacheslav Kravstov / Sasha Kravtsov,placed on IL
11/6/2012,Pistons,Khris Middleton,,activated from IL
11/7/2012,Bobcats,,Gerald Henderson Jr.,placed on IL with sprained left foot
11/7/2012,Bobcats,DeSagana Diop,,activated from IL
11/7/2012,Bucks,,Beno Udrih,placed on IL with bruised right quadricep
11/7/2012,Bucks,John Henson,,activated from IL
11/7/2012,Cavaliers,,Anderson Varejao,placed on IL with bruised right knee
11/7/2012,Cavaliers,,Tyler Zeller,placed on IL with fractured left cheekbone / concussion
11/7/2012,Cavaliers,Jeremy Pargo,,activated from IL
11/7/2012,Cavaliers,Luke Harangody,,activated from IL
11/7/2012,Heat,,Terrel Harris,placed on IL
11/7/2012,Heat,Josh Harrellson,,activated from IL
11/7/2012,Mavericks,,Shawn Marion,placed on IL with sprained MCL in left knee
11/7/2012,Mavericks,Rodrigue Beaubois,,activated from IL
11/7/2012,Nuggets,,Wilson Chandler,placed on IL recovering from surgery on left hip to repair torn labrum
11/7/2012,Nuggets,Quincy Miller,,activated from IL
11/7/2012,Pistons,,Khris Middleton,placed on IL
11/7/2012,Pistons,Viacheslav Kravtsov / Viacheslav Kravstov / Sasha Kravtsov,,activated from IL
11/7/2012,Raptors,,Kyle Lowry,placed on IL with sprained right ankle / bone bruise in right foot
11/7/2012,Raptors,Quincy Acy,,activated from IL
11/7/2012,Rockets,,Scott Machado,placed on IL
11/7/2012,Rockets,Greg Smith (b. 1991-01-08),,activated from IL
11/8/2012,Warriors,,Andrew Bogut,placed on IL with sore left ankle
11/9/2012,Bucks,,Drew Gooden,placed on IL
11/9/2012,Bucks,Beno Udrih,,activated from IL
11/9/2012,Cavaliers,Anderson Varejao,,activated from IL
11/9/2012,Heat,,Dwyane Wade,placed on IL with illness
11/9/2012,Kings,,Tyler Honeycutt,placed on IL
11/9/2012,Kings,John Salmons,,activated from IL
11/9/2012,Lakers,Darius Johnson-Odom,,activated from IL
11/9/2012,Nets,,MarShon Brooks,placed on IL with sprained left ankle
11/9/2012,Nets,Josh Childress,,activated from IL
11/9/2012,Pacers,,Orlando Johnson,placed on IL
11/9/2012,Pacers,Jeff Pendergraph / Jeff Ayres,,activated from IL
11/9/2012,Spurs,,Stephen Jackson,placed on IL with flu / stomach virus
11/9/2012,Spurs,Cory Joseph,,activated from IL
11/9/2012,Thunder,,Hasheem Thabeet,placed on IL with sprained left ankle
11/9/2012,Thunder,Daniel Orton,,activated from IL
11/9/2012,Warriors,Kent Bazemore,,activated from IL
11/9/2012,Lakers,,Devin Ebanks,placed on IL after arrest for DUI
11/10/2012,Pacers,,Miles Plumlee,placed on IL
11/10/2012,Pacers,Orlando Johnson,,activated from IL
11/10/2012,Pistons,,Viacheslav Kravtsov / Viacheslav Kravstov / Sasha Kravtsov,placed on IL
11/10/2012,Pistons,Khris Middleton,,activated from IL
11/10/2012,Raptors,,Landry Fields,placed on IL with sore right wrist/hand
11/10/2012,Spurs,,(William) Tony Parker,placed on IL with flu
11/10/2012,Spurs,Stephen Jackson,,activated from IL
11/11/2012,Cavaliers,,Luke Harangody,placed on IL with right knee injury
11/11/2012,Heat,,Terrel Harris,placed on IL
11/11/2012,Heat,Dwyane Wade,,activated from IL
11/12/2012,Bulls,,Kirk Hinrich,placed on IL with right hip/gluteus/hamstring injury
11/12/2012,Heat,,Josh Harrellson,placed on IL
11/12/2012,Heat,Terrel Harris,,activated from IL
11/12/2012,Nuggets,,Quincy Miller,placed on IL
11/12/2012,Nuggets,Wilson Chandler,,activated from IL
11/12/2012,Raptors,,Alan Anderson,placed on IL with partially torn plantar fascia in left foot
11/12/2012,Thunder,,Daniel Orton,placed on IL
11/12/2012,Thunder,Hasheem Thabeet,,activated from IL
11/13/2012,Blazers,,Will Barton,placed on IL
11/13/2012,Blazers,Victor Claver,,activated from IL
11/13/2012,Lakers,,Steve Blake,placed on IL with abdominal strain
11/13/2012,Lakers,Devin Ebanks,,activated from IL
11/13/2012,Pacers,,Orlando Johnson,placed on IL
11/13/2012,Pacers,Miles Plumlee,,activated from IL
11/13/2012,Spurs,,Cory Joseph,placed on IL
11/13/2012,Spurs,(William) Tony Parker,,activated from IL
11/13/2012,Rockets,Royce White,,activated from IL
11/14/2012,Bulls,Kirk Hinrich,,activated from IL
11/14/2012,Hawks,,Devin Harris,placed on IL with illness (P)
11/14/2012,Hawks,Johan Petro,,activated from IL
11/14/2012,Pistons,,Rodney Stuckey,placed on IL with flu
11/14/2012,Pistons,Corey Maggette,,activated from IL
11/14/2012,Rockets,,Donatas Motiejunas,placed on IL
11/14/2012,Suns,,Diante Garrett,placed on IL
11/14/2012,Celtics,,Kris Joseph,placed on IL
11/15/2012,Heat,,Dwyane Wade,placed on IL with sprained right (P) / left (CBC) foot
11/15/2012,Heat,Josh Harrellson,,activated from IL
11/15/2012,Nets,,Tornike Shengelia,placed on IL (date 11-18 per P)
11/15/2012,Nets,MarShon Brooks,,activated from IL (date 11-18 per P)
11/16/2012,Blazers,,Nolan Smith,placed on IL
11/16/2012,Blazers,Will Barton,,activated from IL
11/16/2012,Hawks,,DeShawn Stevenson,placed on IL with back injury
11/16/2012,Hawks,Devin Harris,,activated from IL
11/16/2012,Mavericks,,Jared Cunningham,placed on IL
11/16/2012,Mavericks,Shawn Marion,,activated from IL
11/16/2012,Pacers,,Ben Hansbrough,placed on IL
11/16/2012,Pacers,Orlando Johnson,,activated from IL
11/16/2012,Pistons,,Kim English,placed on IL
11/16/2012,Pistons,Rodney Stuckey,,activated from IL
11/17/2012,Cavaliers,,Jon Leuer,placed on IL
11/17/2012,Cavaliers,Tyler Zeller,,activated from IL
11/17/2012,Nuggets,,Wilson Chandler,placed on IL
11/17/2012,Nuggets,Julyan Stone,,activated from IL
11/18/2012,Blazers,,Joel Freeland,placed on IL
11/18/2012,Blazers,Nolan Smith,,activated from IL
11/18/2012,Nets,,Keith Bogans,placed on IL
11/18/2012,Nets,Gerald Wallace,,activated from IL
11/18/2012,Pacers,,Orlando Johnson,placed on IL
11/18/2012,Pacers,Ben Hansbrough,,activated from IL
11/19/2012,Bobcats,,Tyrus Thomas,placed on IL with torn muscle in left calf
11/19/2012,Hawks,,Johan Petro,placed on IL
11/19/2012,Hawks,DeShawn Stevenson,,activated from IL
11/19/2012,Pacers,,Miles Plumlee,placed on IL
11/19/2012,Pacers,Orlando Johnson,,activated from IL
11/20/2012,Nets,,Tyshawn Taylor,placed on IL
11/20/2012,Nets,Keith Bogans,,activated from IL
11/20/2012,Raptors,Kyle Lowry,,activated from IL
11/21/2012,Blazers,,J.J. Hickson,placed on IL with left shoulder injury
11/21/2012,Blazers,Joel Freeland,,activated from IL
11/21/2012,Cavaliers,,Kyrie Irving,placed on IL with fractured left index finger
11/21/2012,Cavaliers,Jon Leuer,,activated from IL
11/21/2012,Heat,,Josh Harrellson,placed on IL
11/21/2012,Heat,Dwyane Wade,,activated from IL
11/21/2012,Nets,,Gerald Wallace,placed on IL with sore left ankle
11/21/2012,Nets,,Jerry Stackhouse,placed on IL for rest
11/21/2012,Nets,Tornike Shengelia,,activated from IL
11/21/2012,Nets,Tyshawn Taylor,,activated from IL
11/21/2012,Pistons,,Khris Middleton,placed on IL
11/21/2012,Pistons,Kim English,,activated from IL
11/21/2012,Spurs,,Kawhi Leonard,placed on IL with left knee tendinitis
11/21/2012,Spurs,,Stephen Jackson,placed on IL with fractured right pinky finger
11/21/2012,Timberwolves,,Brandon Roy,placed on IL recovering from arthroscopic surgery on right knee (out for season)
11/21/2012,Timberwolves,,Chase Budinger,placed on IL recovering from surgery on left knee to repair torn meniscus
11/21/2012,Timberwolves,Kevin Love,,activated from IL
11/21/2012,Wizards,,Trevor Booker,placed on IL with right knee injury
11/21/2012,Wizards,Nene / Nene Hilario / Maybyner Hilario,,activated from IL
11/21/2012,Pacers,,Orlando Johnson,placed on IL
11/21/2012,Pacers,Miles Plumlee,,activated from IL
11/21/2012,Spurs,Cory Joseph,,activated from IL
11/23/2012,Blazers,,Victor Claver,placed on IL with sprained elbow
11/23/2012,Blazers,J.J. Hickson,,activated from IL
11/23/2012,Grizzlies,Darrell Arthur,,activated from IL
11/23/2012,Jazz,,Kevin Murphy,placed on IL
11/23/2012,Jazz,Earl Watson,,activated from IL
11/23/2012,Nets,,Mirza Teletovic,placed on IL
11/23/2012,Nets,,Tornike Shengelia,placed on IL
11/23/2012,Nets,Gerald Wallace,,activated from IL
11/23/2012,Nets,Jerry Stackhouse,,activated from IL
11/23/2012,Thunder,,DeAndre Liggins,placed on IL
11/24/2012,Hawks,,Devin Harris,placed on IL with turf toe in left big toe
11/24/2012,Hawks,Johan Petro,,activated from IL
11/24/2012,Heat,,Terrel Harris,placed on IL
11/24/2012,Heat,Dexter Pittman,,activated from IL
11/27/2012,Rockets,,Carlos Delfino,placed on IL with groin injury
11/27/2012,Rockets,,Cole Aldrich,placed on IL
11/27/2012,Rockets,Donatas Motiejunas,,activated from IL
11/27/2012,Rockets,Scott Machado,,activated from IL
11/28/2012,Clippers,Chauncey Billups,,activated from IL
11/28/2012,Hawks,,Johan Petro,placed on IL
11/28/2012,Hawks,Devin Harris,,activated from IL
11/28/2012,Mavericks,,Darren Collison,placed on IL with sprained right middle finger
11/28/2012,Mavericks,Jared Cunningham,,activated from IL
11/29/2012,Heat,,Shane Battier,placed on IL with sprained MCL in right knee
11/29/2012,Heat,Terrel Harris,,activated from IL
11/29/2012,Cavaliers,Luke Harangody,,activated from IL
11/30/2012,Cavaliers,,Kevin Jones,placed on IL
11/30/2012,Hawks,,Kyle Korver,placed on IL with sore back
11/30/2012,Hawks,Johan Petro,,activated from IL
11/30/2012,Nets,,Brook Lopez,placed on IL with sprained right foot
11/30/2012,Nets,Mirza Teletovic,,activated from IL
11/30/2012,Pacers,,Ben Hansbrough,placed on IL
11/30/2012,Pacers,Orlando Johnson,,activated from IL
11/30/2012,Pistons,,Kim English,placed on IL
11/30/2012,Pistons,Viacheslav Kravtsov / Viacheslav Kravstov / Sasha Kravtsov,,activated from IL
11/30/2012,Celtics,Kris Joseph,,activated from IL
12/1/2012,Bucks,,Ekpe Udoh,placed on IL
12/1/2012,Bucks,,Mike Dunleavy Jr.,placed on IL with knee injury
12/1/2012,Bucks,Drew Gooden,,activated from IL
12/1/2012,Bucks,Luc Richard Mbah a Moute / Luc Mbah a Moute,,activated from IL
12/1/2012,Mavericks,,Rodrigue Beaubois,placed on IL
12/1/2012,Mavericks,Darren Collison,,activated from IL
12/1/2012,Pacers,,Miles Plumlee,placed on IL
12/1/2012,Pacers,Ben Hansbrough,,activated from IL
12/1/2012,Pistons,,Viacheslav Kravtsov / Viacheslav Kravstov / Sasha Kravtsov,placed on IL
12/1/2012,Pistons,Kim English,,activated from IL
12/1/2012,Rockets,Carlos Delfino,,activated from IL
12/1/2012,Rockets,Cole Aldrich,,activated from IL
12/1/2012,Spurs,,Cory Joseph,placed on IL
12/1/2012,Thunder,DeAndre Liggins,,activated from IL
12/1/2012,Warriors,Kent Bazemore,,activated from IL
12/3/2012,Bobcats,Gerald Henderson Jr.,,activated from IL
12/3/2012,Bucks,,Beno Udrih,placed on IL with sprained right ankle
12/3/2012,Bucks,,Drew Gooden,placed on IL
12/3/2012,Bucks,Ekpe Udoh,,activated from IL
12/3/2012,Bucks,Mike Dunleavy Jr.,,activated from IL
12/3/2012,Nuggets,,Julyan Stone,placed on IL
12/3/2012,Nuggets,Quincy Miller,,activated from IL
12/4/2012,Bulls,,Richard Hamilton,placed on IL with torn plantar fascia in left foot
12/4/2012,Heat,,Norris Cole (Gene),placed on IL with groin injury
12/4/2012,Heat,Josh Harrellson,,activated from IL
12/4/2012,Nets,,Reggie Evans,placed on IL with flu
12/4/2012,Nets,Tornike Shengelia,,activated from IL
12/4/2012,Suns,Diante Garrett,,activated from IL
12/4/2012,Thunder,,Perry Jones III,placed on IL
12/5/2012,Bucks,,Mike Dunleavy Jr.,placed on IL with sore left knee
12/5/2012,Bucks,Drew Gooden,,activated from IL
12/5/2012,Cavaliers,,Dion Waiters,placed on IL with sprained left ankle
12/5/2012,Cavaliers,Kevin Jones,,activated from IL
12/5/2012,Clippers,,Chauncey Billups,placed on IL with sore left foot
12/5/2012,Mavericks,,Jared Cunningham,placed on IL
12/5/2012,Mavericks,Rodrigue Beaubois,,activated from IL
12/5/2012,Nuggets,,Kosta Koufos,placed on IL with illness
12/5/2012,Nuggets,Julyan Stone,,activated from IL
12/5/2012,Spurs,Cory Joseph,,activated from IL
12/6/2012,Heat,,Dexter Pittman,placed on IL with strained quadricep
12/6/2012,Heat,,Josh Harrellson,placed on IL
12/6/2012,Heat,Norris Cole (Gene),,activated from IL
12/6/2012,Heat,Shane Battier,,activated from IL
12/6/2012,Mavericks,,Rodrigue Beaubois,placed on IL with finger injury
12/6/2012,Mavericks,Jared Cunningham,,activated from IL
12/7/2012,Nets,,Tornike Shengelia,placed on IL
12/7/2012,Nets,Reggie Evans,,activated from IL
12/7/2012,Nuggets,,Julyan Stone,placed on IL
12/7/2012,Nuggets,Kosta Koufos,,activated from IL
12/7/2012,Pacers,,Orlando Johnson,placed on IL
12/7/2012,Pacers,Miles Plumlee,,activated from IL
12/7/2012,Raptors,,Quincy Acy,placed on IL
12/7/2012,Thunder,Daniel Orton,,activated from IL
12/7/2012,Thunder,Jeremy Lamb,,activated from IL
12/8/2012,Mavericks,,Shawn Marion,placed on IL with strained right groin
12/8/2012,Mavericks,Rodrigue Beaubois,,activated from IL
12/10/2012,Blazers,,Nicolas Batum,placed on IL with sore back
12/10/2012,Blazers,Victor Claver,,activated from IL
12/10/2012,Blazers,Will Barton,,activated from IL
12/10/2012,Heat,,Terrel Harris,placed on IL
12/10/2012,Heat,,Udonis Haslem,placed on IL with illness
12/10/2012,Heat,Dexter Pittman,,activated from IL
12/10/2012,Heat,Josh Harrellson,,activated from IL
12/11/2012,Cavaliers,Kyrie Irving,,activated from IL
12/12/2012,Bucks,,Ekpe Udoh,placed on IL with left wrist injury
12/12/2012,Bucks,Mike Dunleavy Jr.,,activated from IL
12/12/2012,Hawks,,DeShawn Stevenson,placed on IL
12/12/2012,Hawks,Kyle Korver,,activated from IL
12/12/2012,Heat,,Josh Harrellson,placed on IL
12/12/2012,Heat,Udonis Haslem,,activated from IL
12/12/2012,Mavericks,Shawn Marion,,activated from IL
12/12/2012,Nets,,Jerry Stackhouse,placed on IL with sore right knee
12/12/2012,Nets,Tornike Shengelia,,activated from IL
12/12/2012,Pacers,,Miles Plumlee,placed on IL
12/12/2012,Pacers,Orlando Johnson,,activated from IL
12/12/2012,Raptors,,Andrea Bargnani,placed on IL with torn ligament in right elbow
12/12/2012,Raptors,Quincy Acy,,activated from IL
12/13/2012,Blazers,,Wesley Matthews / Wes Matthews Jr.,placed on IL with bruised left hip
12/13/2012,Blazers,Nicolas Batum,,activated from IL
12/13/2012,Hawks,,Johan Petro,placed on IL
12/13/2012,Hawks,(James) Mike Scott,,activated from IL
12/13/2012,Hawks,DeShawn Stevenson,,activated from IL
12/14/2012,Bucks,,Tobias Harris,placed on IL with right elbow injury
12/14/2012,Bucks,Ekpe Udoh,,activated from IL
12/14/2012,Nets,,Tornike Shengelia,placed on IL
12/14/2012,Nets,Brook Lopez,,activated from IL
12/14/2012,Raptors,,Kyle Lowry,placed on IL with torn right triceps
12/14/2012,Raptors,Alan Anderson,,activated from IL
12/14/2012,Thunder,,Jeremy Lamb,placed on IL
12/14/2012,Thunder,,Daniel Orton,placed on IL
12/15/2012,Bucks,,Mike Dunleavy Jr.,placed on IL with bruised left knee
12/15/2012,Bucks,Tobias Harris,,activated from IL
12/15/2012,Hawks,,Anthony Morrow,placed on IL with sore back
12/15/2012,Hawks,Johan Petro,,activated from IL
12/15/2012,Timberwolves,Ricky Rubio,,activated from IL
12/16/2012,Blazers,Wesley Matthews / Wes Matthews Jr.,,activated from IL
12/16/2012,Hornets,,Jason Smith,placed on IL with right shoulder injury
12/16/2012,Blazers,,Joel Freeland,placed on IL with finger injury
12/16/2012,Rockets,Terrence Jones,,activated from IL
12/17/2012,Spurs,Stephen Jackson,,activated from IL
12/17/2012,Grizzlies,,Josh Selby,placed on IL
12/17/2012,Grizzlies,Tony Wroten Jr.,,activated from IL
12/17/2012,Thunder,Jeremy Lamb,,activated from IL
12/18/2012,Bucks,,Tobias Harris,placed on IL
12/18/2012,Bucks,Mike Dunleavy Jr.,,activated from IL
12/18/2012,Cavaliers,,Jeremy Pargo,placed on IL
12/18/2012,Cavaliers,Dion Waiters,,activated from IL
12/18/2012,Nets,,Josh Childress,placed on IL with sore left foot
12/18/2012,Nets,Tornike Shengelia,,activated from IL
12/18/2012,Nuggets,,Anthony Randolph,placed on IL with illness
12/18/2012,Nuggets,Julyan Stone,,activated from IL
12/19/2012,Cavaliers,,Anderson Varejao,placed on IL with bruised right knee
12/19/2012,Cavaliers,Jeremy Pargo,,activated from IL
12/19/2012,Hawks,,Devin Harris,placed on IL with left foot injury
12/19/2012,Hawks,Anthony Morrow,,activated from IL
12/19/2012,Kings,,Tyreke Evans,placed on IL with sore left knee
12/19/2012,Kings,Tyler Honeycutt,,activated from IL
12/19/2012,Pacers,,Orlando Johnson,placed on IL
12/19/2012,Rockets,Donatas Motiejunas,,activated from IL
12/19/2012,Thunder,,DeAndre Liggins,placed on IL
12/19/2012,Thunder,Daniel Orton,,activated from IL
12/19/2012,Pacers,Miles Plumlee,,activated from IL
12/20/2012,Blazers,,Nolan Smith,placed on IL with illness
12/20/2012,Blazers,Joel Freeland,,activated from IL
12/20/2012,Nuggets,,Julyan Stone,placed on IL
12/20/2012,Nuggets,Anthony Randolph,,activated from IL
12/21/2012,Cavaliers,,Donald Sloan,placed on IL
12/21/2012,Cavaliers,Jon Leuer,,activated from IL
12/21/2012,Pistons,,Corey Maggette,placed on IL
12/21/2012,Pistons,Kim English,,activated from IL
12/21/2012,Spurs,,Cory Joseph,placed on IL
12/21/2012,Spurs,Kawhi Leonard,,activated from IL
12/21/2012,Spurs,Stephen Jackson,,activated from IL
12/22/2012,Heat,,Chris Bosh,placed on IL with flu
12/22/2012,Heat,Terrel Harris,,activated from IL
12/22/2012,Lakers,Steve Nash,,activated from IL
12/22/2012,Pacers,,Gerald Green (b. 1986-01-26),placed on IL with sprained left ankle
12/22/2012,Pacers,Orlando Johnson,,activated from IL
12/22/2012,Rockets,,Patrick Patterson,placed on IL with bone bruise in right foot
12/22/2012,Suns,,Diante Garrett,placed on IL
12/22/2012,Suns,Kendall Marshall,,activated from IL
12/22/2012,Grizzlies,Josh Selby,,activated from IL
12/22/2012,Rockets,Scott Machado,,activated from IL
12/23/2012,Mavericks,,Bernard James,placed on IL
12/23/2012,Mavericks,Dirk Nowitzki,,activated from IL
